"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 16 18 6274 2872 0.470588235294118 0.685982943363219 "Consensus" "33"
"2" "Consensus.66" 16 15 6693 2598 0.516129032258065 0.720374556021957 "Consensus" "66"
"3" "Consensus.90" 18 11 7830 1926 0.620689655172414 0.802583025830258 "Consensus" "90"
"4" "Consensus.Final" 24 5 10140 723 0.827586206896552 0.933443800055233 "Consensus" "Final"
"5" "Consensus.Initial" 10 34 2557 6760 0.227272727272727 0.274444563700762 "Consensus" "Initial"
"6" "Monocle.33" 20 34 4700 7759 0.37037037037037 0.377237338470182 "Monocle" "33"
"7" "Monocle.66" 20 30 6316 6143 0.4 0.506942772293121 "Monocle" "66"
"8" "Monocle.90" 26 17 9582 2877 0.604651162790698 0.769082590898146 "Monocle" "90"
"9" "Monocle.Final" 28 7 11356 1103 0.8 0.911469620354764 "Monocle" "Final"
"10" "Monocle.Initial" 22 40 4486 7973 0.354838709677419 0.360061000080263 "Monocle" "Initial"
"11" "RSEC.33" 18 44 4839 6000 0.290322580645161 0.446443398837531 "RSEC" "33"
"12" "RSEC.66" 16 40 4999 5840 0.285714285714286 0.461204908201864 "RSEC" "66"
"13" "RSEC.90" 18 27 6800 4039 0.4 0.627364147984131 "RSEC" "90"
"14" "RSEC.Final" 18 13 7450 3389 0.580645161290323 0.687332779776732 "RSEC" "Final"
"15" "RSEC.Initial" 18 44 4839 6000 0.290322580645161 0.446443398837531 "RSEC" "Initial"
"16" "Seurat.33" 16 20 7605 4854 0.444444444444444 0.610402118950157 "Seurat" "33"
"17" "Seurat.66" 16 19 7885 4574 0.457142857142857 0.632875832731359 "Seurat" "66"
"18" "Seurat.90" 16 19 7885 4574 0.457142857142857 0.632875832731359 "Seurat" "90"
"19" "Seurat.Final" 20 12 8941 3518 0.625 0.717633838991893 "Seurat" "Final"
"20" "Seurat.Initial" 16 20 7605 4854 0.444444444444444 0.610402118950157 "Seurat" "Initial"
"21" "sc3.33" 20 35 7134 5325 0.363636363636364 0.572598121839634 "sc3" "33"
"22" "sc3.66" 20 34 7134 5325 0.37037037037037 0.572598121839634 "sc3" "66"
"23" "sc3.90" 22 30 7979 4480 0.423076923076923 0.640420579500762 "sc3" "90"
"24" "sc3.Final" 26 11 11165 1294 0.702702702702703 0.896139337025443 "sc3" "Final"
"25" "sc3.Initial" 18 39 4954 7505 0.315789473684211 0.397624207400273 "sc3" "Initial"
