"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 12 57 17409 85518 0.173913043478261 0.169139292896908 "Consensus" "33"
"2" "Consensus.66" 14 53 19348 85993 0.208955223880597 0.183670175904918 "Consensus" "66"
"3" "Consensus.90" 16 43 28220 82364 0.271186440677966 0.255190624321783 "Consensus" "90"
"4" "Consensus.Final" 20 27 52257 66494 0.425531914893617 0.44005524164007 "Consensus" "Final"
"5" "Consensus.Initial" 12 69 12510 87346 0.148148148148148 0.125280403781445 "Consensus" "Initial"
"6" "Monocle.33" 16 129 8266 121177 0.110344827586207 0.0638582233106464 "Monocle" "33"
"7" "Monocle.66" 16 108 8737 120706 0.129032258064516 0.0674968905232419 "Monocle" "66"
"8" "Monocle.90" 16 72 8352 121091 0.181818181818182 0.0645226084067891 "Monocle" "90"
"9" "Monocle.Final" 26 22 70403 59040 0.541666666666667 0.543891906089939 "Monocle" "Final"
"10" "Monocle.Initial" 14 149 6531 122912 0.0858895705521472 0.0504546402663721 "Monocle" "Initial"
"11" "Seurat.33" 22 33 60983 68460 0.4 0.471118561838029 "Seurat" "33"
"12" "Seurat.66" 22 32 61263 68180 0.407407407407407 0.47328167610454 "Seurat" "66"
"13" "Seurat.90" 22 30 61492 67951 0.423076923076923 0.475050794558223 "Seurat" "90"
"14" "Seurat.Final" 26 23 71474 57969 0.530612244897959 0.552165818159344 "Seurat" "Final"
"15" "Seurat.Initial" 22 33 60983 68460 0.4 0.471118561838029 "Seurat" "Initial"
"16" "sc3.33" 12 103 11926 117517 0.104347826086957 0.0921332169371847 "sc3" "33"
"17" "sc3.66" 10 100 9115 120328 0.0909090909090909 0.0704170947830319 "sc3" "66"
"18" "sc3.90" 14 79 16549 112894 0.150537634408602 0.127847778558902 "sc3" "90"
"19" "sc3.Final" 22 29 55914 73529 0.431372549019608 0.431958468206083 "sc3" "Final"
"20" "sc3.Initial" 14 113 12956 116487 0.110236220472441 0.100090387274708 "sc3" "Initial"
