"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 16 45 9185 54641 0.262295081967213 0.143906871807727 "Consensus" "33"
"2" "Consensus.66" 18 42 22048 44899 0.3 0.32933514571228 "Consensus" "66"
"3" "Consensus.90" 16 36 21519 48095 0.307692307692308 0.309118855402649 "Consensus" "90"
"4" "Consensus.Final" 24 14 51678 22813 0.631578947368421 0.69374823804218 "Consensus" "Final"
"5" "Consensus.Initial" 18 51 11294 52307 0.260869565217391 0.177575824279492 "Consensus" "Initial"
"6" "Monocle.33" 12 90 6211 78383 0.117647058823529 0.0734212828332979 "Monocle" "33"
"7" "Monocle.66" 14 74 7803 76791 0.159090909090909 0.0922405844386127 "Monocle" "66"
"8" "Monocle.90" 16 58 10371 74223 0.216216216216216 0.122597347329598 "Monocle" "90"
"9" "Monocle.Final" 28 13 69988 14606 0.682926829268293 0.827340000472847 "Monocle" "Final"
"10" "Monocle.Initial" 12 100 7037 77557 0.107142857142857 0.0831855687164574 "Monocle" "Initial"
"11" "Seurat.33" 26 13 49247 35347 0.666666666666667 0.582157126983001 "Seurat" "33"
"12" "Seurat.66" 26 12 61298 23296 0.684210526315789 0.72461403882072 "Seurat" "66"
"13" "Seurat.90" 26 12 61298 23296 0.684210526315789 0.72461403882072 "Seurat" "90"
"14" "Seurat.Final" 24 10 61692 22902 0.705882352941177 0.729271579544649 "Seurat" "Final"
"15" "Seurat.Initial" 26 13 49247 35347 0.666666666666667 0.582157126983001 "Seurat" "Initial"
"16" "sc3.33" 10 113 4878 79716 0.0813008130081301 0.0576636640896517 "sc3" "33"
"17" "sc3.66" 10 110 4878 79716 0.0833333333333333 0.0576636640896517 "sc3" "66"
"18" "sc3.90" 10 103 4878 79716 0.0884955752212389 0.0576636640896517 "sc3" "90"
"19" "sc3.Final" 22 26 45377 39217 0.458333333333333 0.536409201598222 "sc3" "Final"
"20" "sc3.Initial" 10 120 4878 79716 0.0769230769230769 0.0576636640896517 "sc3" "Initial"
