"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 46 84 44815 121938 0.353846153846154 0.268750787092286 "Consensus" "33"
"2" "Consensus.66" 48 79 57538 114750 0.377952755905512 0.333964060178306 "Consensus" "66"
"3" "Consensus.90" 49 62 63034 117164 0.441441441441441 0.349804104374077 "Consensus" "90"
"4" "Consensus.Final" 55 30 116703 76539 0.647058823529412 0.603921507746763 "Consensus" "Final"
"5" "Consensus.Initial" 57 93 54872 108585 0.38 0.335696849936069 "Consensus" "Initial"
"6" "Monocle.33" 55 192 30488 183549 0.222672064777328 0.142442661782776 "Monocle" "33"
"7" "Monocle.66" 54 158 30605 183432 0.254716981132075 0.142989296243173 "Monocle" "66"
"8" "Monocle.90" 55 107 31806 182231 0.339506172839506 0.148600475618701 "Monocle" "90"
"9" "Monocle.Final" 57 32 142548 71489 0.640449438202247 0.665997000518602 "Monocle" "Final"
"10" "Monocle.Initial" 51 224 28942 185095 0.185454545454545 0.135219611562487 "Monocle" "Initial"
"11" "Seurat.33" 61 33 153229 60808 0.648936170212766 0.715899587454506 "Seurat" "33"
"12" "Seurat.66" 61 31 165560 48477 0.66304347826087 0.773511121908829 "Seurat" "66"
"13" "Seurat.90" 61 29 169220 44817 0.677777777777778 0.790610969131505 "Seurat" "90"
"14" "Seurat.Final" 57 26 174507 39530 0.686746987951807 0.815312305816284 "Seurat" "Final"
"15" "Seurat.Initial" 61 33 153229 60808 0.648936170212766 0.715899587454506 "Seurat" "Initial"
"16" "sc3.33" 52 186 40974 173063 0.218487394957983 0.191434191284684 "sc3" "33"
"17" "sc3.66" 50 180 38163 175874 0.217391304347826 0.17830094796694 "sc3" "66"
"18" "sc3.90" 52 154 43082 170955 0.252427184466019 0.201282955750641 "sc3" "90"
"19" "sc3.Final" 53 46 108529 105508 0.535353535353535 0.507057191046408 "sc3" "Final"
"20" "sc3.Initial" 52 205 30017 184020 0.202334630350195 0.140242107672972 "sc3" "Initial"
