"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 16 74 31701 125258 0.177777777777778 0.201969941194834 "Consensus" "33"
"2" "Consensus.66" 16 76 31587 130831 0.173913043478261 0.194479675897992 "Consensus" "66"
"3" "Consensus.90" 14 69 22601 147751 0.168674698795181 0.132672349018503 "Consensus" "90"
"4" "Consensus.Final" 18 39 57927 124558 0.315789473684211 0.317434309669288 "Consensus" "Final"
"5" "Consensus.Initial" 22 84 36457 117683 0.207547169811321 0.236518749189049 "Consensus" "Initial"
"6" "Monocle.33" 18 175 15855 185723 0.0932642487046632 0.0786544166526109 "Monocle" "33"
"7" "Monocle.66" 16 146 14167 187411 0.0987654320987654 0.0702804869579021 "Monocle" "66"
"8" "Monocle.90" 14 105 11739 189839 0.117647058823529 0.0582355217335225 "Monocle" "90"
"9" "Monocle.Final" 24 30 104193 97385 0.444444444444444 0.516886763436486 "Monocle" "Final"
"10" "Monocle.Initial" 16 197 14762 186816 0.0751173708920188 0.0732321979581105 "Monocle" "Initial"
"11" "Seurat.33" 28 30 134022 67556 0.482758620689655 0.66486422129399 "Seurat" "33"
"12" "Seurat.66" 26 31 121464 80114 0.456140350877193 0.602565756183711 "Seurat" "66"
"13" "Seurat.90" 26 29 125124 76454 0.472727272727273 0.62072249947911 "Seurat" "90"
"14" "Seurat.Final" 24 27 131645 69933 0.470588235294118 0.653072259869629 "Seurat" "Final"
"15" "Seurat.Initial" 28 30 134022 67556 0.482758620689655 0.66486422129399 "Seurat" "Initial"
"16" "sc3.33" 14 169 12403 189175 0.0765027322404372 0.0615295319925786 "sc3" "33"
"17" "sc3.66" 14 162 12403 189175 0.0795454545454545 0.0615295319925786 "sc3" "66"
"18" "sc3.90" 14 140 12403 189175 0.0909090909090909 0.0615295319925786 "sc3" "90"
"19" "sc3.Final" 22 40 83310 118268 0.354838709677419 0.413289148617409 "sc3" "Final"
"20" "sc3.Initial" 16 184 14152 187426 0.08 0.070206074075544 "sc3" "Initial"
