"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 12 57 17792 88106 0.173913043478261 0.168010727303632 "Consensus" "33"
"2" "Consensus.66" 14 53 19677 88496 0.208955223880597 0.181903062686622 "Consensus" "66"
"3" "Consensus.90" 16 43 28872 84579 0.271186440677966 0.254488722003332 "Consensus" "90"
"4" "Consensus.Final" 20 27 52671 68509 0.425531914893617 0.434650932497112 "Consensus" "Final"
"5" "Consensus.Initial" 12 69 12635 90097 0.148148148148148 0.122989915508313 "Consensus" "Initial"
"6" "Monocle.33" 16 129 8181 121262 0.110344827586207 0.0632015636225984 "Monocle" "33"
"7" "Monocle.66" 16 108 8824 120619 0.129032258064516 0.0681690010274793 "Monocle" "66"
"8" "Monocle.90" 16 72 8450 120993 0.181818181818182 0.065279698400068 "Monocle" "90"
"9" "Monocle.Final" 26 22 69470 59973 0.541666666666667 0.5366841003376 "Monocle" "Final"
"10" "Monocle.Initial" 14 149 6400 123043 0.0858895705521472 0.0494426118059687 "Monocle" "Initial"
"11" "Seurat.33" 22 33 60873 68570 0.4 0.470268766947614 "Seurat" "33"
"12" "Seurat.66" 22 32 61153 68290 0.407407407407407 0.472431881214125 "Seurat" "66"
"13" "Seurat.90" 22 30 61172 68271 0.423076923076923 0.472578663967924 "Seurat" "90"
"14" "Seurat.Final" 26 23 71405 58038 0.530612244897959 0.551632765000811 "Seurat" "Final"
"15" "Seurat.Initial" 22 33 60873 68570 0.4 0.470268766947614 "Seurat" "Initial"
"16" "sc3.33" 12 103 12166 117277 0.104347826086957 0.0939873148799085 "sc3" "33"
"17" "sc3.66" 10 100 9246 120197 0.0909090909090909 0.0714291232434353 "sc3" "66"
"18" "sc3.90" 14 79 16760 112683 0.150537634408602 0.12947783966688 "sc3" "90"
"19" "sc3.Final" 22 29 55166 74277 0.431372549019608 0.42617986295126 "sc3" "Final"
"20" "sc3.Initial" 14 113 12956 116487 0.110236220472441 0.100090387274708 "sc3" "Initial"
