"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 10 48 6326 59044 0.172413793103448 0.0967722196726327 "Consensus" "33"
"2" "Consensus.66" 16 41 21769 46596 0.280701754385965 0.318423169750603 "Consensus" "66"
"3" "Consensus.90" 10 41 18772 52542 0.196078431372549 0.263230221274925 "Consensus" "90"
"4" "Consensus.Final" 24 16 52092 23716 0.6 0.687157028281976 "Consensus" "Final"
"5" "Consensus.Initial" 12 55 8785 56487 0.17910447761194 0.134590636107366 "Consensus" "Initial"
"6" "Monocle.33" 4 90 2259 82335 0.0425531914893617 0.0267040215618129 "Monocle" "33"
"7" "Monocle.66" 8 72 6345 78249 0.1 0.0750053195262075 "Monocle" "66"
"8" "Monocle.90" 8 61 6345 78249 0.115942028985507 0.0750053195262075 "Monocle" "90"
"9" "Monocle.Final" 22 15 66023 18571 0.594594594594595 0.780469063999811 "Monocle" "Final"
"10" "Monocle.Initial" 6 97 3854 80740 0.058252427184466 0.0455587866751779 "Monocle" "Initial"
"11" "sc3.33" 10 113 5027 79567 0.0813008130081301 0.0594250183228125 "sc3" "33"
"12" "sc3.66" 10 110 5027 79567 0.0833333333333333 0.0594250183228125 "sc3" "66"
"13" "sc3.90" 10 100 5234 79360 0.0909090909090909 0.0618720003782774 "sc3" "90"
"14" "sc3.Final" 22 21 45487 39107 0.511627906976744 0.53770953022673 "sc3" "Final"
"15" "sc3.Initial" 10 120 5027 79567 0.0769230769230769 0.0594250183228125 "sc3" "Initial"
"16" "Seurat.33" 26 13 49440 35154 0.666666666666667 0.584438612667565 "Seurat" "33"
"17" "Seurat.66" 26 12 61203 23391 0.684210526315789 0.723491027732463 "Seurat" "66"
"18" "Seurat.90" 26 12 61203 23391 0.684210526315789 0.723491027732463 "Seurat" "90"
"19" "Seurat.Final" 24 9 61653 22941 0.727272727272727 0.728810553939996 "Seurat" "Final"
"20" "Seurat.Initial" 26 13 49440 35154 0.666666666666667 0.584438612667565 "Seurat" "Initial"
