"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "00"
"2" "Monocle.05" 12 40 3323 9018 0.230769230769231 0.269265051454501 "Monocle" "05"
"3" "Monocle.1" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "1"
"4" "Monocle.15" 12 35 4093 8248 0.25531914893617 0.331658698646787 "Monocle" "15"
"5" "Monocle.2" 14 21 4450 7891 0.4 0.360586662345029 "Monocle" "2"
"6" "Monocle.25" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "25"
"7" "Monocle.3" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "3"
"8" "Monocle.35" 6 20 2626 9715 0.230769230769231 0.212786646138887 "Monocle" "35"
"9" "Monocle.4" 2 21 1274 11067 0.0869565217391304 0.103233125354509 "Monocle" "4"
"10" "Monocle.45" 6 9 4251 8090 0.4 0.344461550927802 "Monocle" "45"
"11" "Monocle.5" 2 8 3163 9178 0.2 0.256300137752208 "Monocle" "5"
"12" "Monocle.55" 4 4 9797 2544 0.5 0.793857872133539 "Monocle" "55"
"13" "Rsec.00" 18 44 5213 7128 0.290322580645161 0.422413094562839 "Rsec" "00"
"14" "Rsec.05" 18 44 5213 7128 0.290322580645161 0.422413094562839 "Rsec" "05"
"15" "Rsec.1" 18 41 5213 7128 0.305084745762712 0.422413094562839 "Rsec" "1"
"16" "Rsec.15" 18 29 6011 6330 0.382978723404255 0.487075601653026 "Rsec" "15"
"17" "Rsec.2" 14 25 5169 7172 0.358974358974359 0.418847743294709 "Rsec" "2"
"18" "Rsec.25" 12 23 5205 7136 0.342857142857143 0.421764848877725 "Rsec" "25"
"19" "Rsec.3" 12 20 5658 6683 0.375 0.458471760797342 "Rsec" "3"
"20" "Rsec.35" 10 20 4808 7533 0.333333333333333 0.38959565675391 "Rsec" "35"
"21" "Rsec.4" 10 16 4976 7365 0.384615384615385 0.403208816141318 "Rsec" "4"
"22" "Rsec.45" 6 15 2418 9923 0.285714285714286 0.195932258325906 "Rsec" "45"
"23" "Rsec.5" 4 9 5248 7093 0.307692307692308 0.425249169435216 "Rsec" "5"
"24" "sc3.00" 18 39 4914 7427 0.315789473684211 0.398184912081679 "sc3" "00"
"25" "sc3.05" 18 32 6591 5750 0.36 0.534073413823839 "sc3" "05"
"26" "sc3.1" 12 25 3207 9134 0.324324324324324 0.259865489020339 "sc3" "1"
"27" "sc3.15" 10 19 2772 9569 0.344827586206897 0.224617129892229 "sc3" "15"
"28" "sc3.2" 10 14 4513 7828 0.416666666666667 0.365691597115307 "sc3" "2"
"29" "sc3.25" 10 14 4513 7828 0.416666666666667 0.365691597115307 "sc3" "25"
"30" "sc3.3" 6 13 3541 8800 0.315789473684211 0.286929746373876 "sc3" "3"
"31" "sc3.35" 6 12 3773 8568 0.333333333333333 0.305728871242201 "sc3" "35"
"32" "sc3.4" 4 7 2911 9430 0.363636363636364 0.235880398671096 "sc3" "4"
"33" "seurat.00" 16 31 6152 6189 0.340425531914894 0.498500931853172 "seurat" "00"
"34" "seurat.05" 18 28 6734 5607 0.391304347826087 0.545660805445264 "seurat" "05"
"35" "seurat.1" 20 24 7341 5000 0.454545454545455 0.594846446803338 "seurat" "1"
"36" "seurat.15" 22 20 8171 4170 0.523809523809524 0.662101936633984 "seurat" "15"
"37" "seurat.2" 20 21 8035 4306 0.48780487804878 0.651081759987035 "seurat" "2"
"38" "seurat.25" 14 19 5600 6741 0.424242424242424 0.453771979580261 "seurat" "25"
"39" "seurat.3" 10 20 5304 7037 0.333333333333333 0.429786889231019 "seurat" "3"
"40" "seurat.35" 10 20 5304 7037 0.333333333333333 0.429786889231019 "seurat" "35"
"41" "seurat.4" 8 16 4084 8257 0.333333333333333 0.330929422251033 "seurat" "4"
"42" "seurat.45" 6 14 5867 6474 0.3 0.475407179320963 "seurat" "45"
"43" "seurat.5" 6 8 7390 4951 0.428571428571429 0.598816951624666 "seurat" "5"
"44" "seurat.55" 4 6 3332 9009 0.4 0.269994327850255 "seurat" "55"
