"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 12 65 2045 10414 0.155844155844156 0.164138373866281 "Monocle" "k_10"
"2" "Monocle.k_100" 14 16 5731 6728 0.466666666666667 0.459988763143109 "Monocle" "k_100"
"3" "Monocle.k_15" 10 52 1976 10483 0.161290322580645 0.158600208684485 "Monocle" "k_15"
"4" "Monocle.k_20" 10 46 2427 10032 0.178571428571429 0.194798940524922 "Monocle" "k_20"
"5" "Monocle.k_25" 12 38 3126 9333 0.24 0.250902961714423 "Monocle" "k_25"
"6" "Monocle.k_30" 14 31 4285 8174 0.311111111111111 0.3439280841159 "Monocle" "k_30"
"7" "Monocle.k_35" 10 35 2816 9643 0.222222222222222 0.226021350028092 "Monocle" "k_35"
"8" "Monocle.k_40" 14 28 4743 7716 0.333333333333333 0.380688658800867 "Monocle" "k_40"
"9" "Monocle.k_45" 12 26 4769 7690 0.315789473684211 0.382775503651978 "Monocle" "k_45"
"10" "Monocle.k_50" 12 25 4921 7538 0.324324324324324 0.394975519704631 "Monocle" "k_50"
"11" "Monocle.k_55" 8 28 3396 9063 0.222222222222222 0.272574042860583 "Monocle" "k_55"
"12" "Monocle.k_60" 10 25 4323 8136 0.285714285714286 0.346978088129063 "Monocle" "k_60"
"13" "Monocle.k_65" 10 24 4147 8312 0.294117647058824 0.332851753752308 "Monocle" "k_65"
"14" "Monocle.k_70" 8 26 3331 9128 0.235294117647059 0.267356930732804 "Monocle" "k_70"
"15" "Monocle.k_75" 10 23 3611 8848 0.303030303030303 0.289830644514006 "Monocle" "k_75"
"16" "Monocle.k_80" 10 23 3599 8860 0.303030303030303 0.288867485351954 "Monocle" "k_80"
"17" "Monocle.k_85" 12 20 4714 7745 0.375 0.378361024159242 "Monocle" "k_85"
"18" "Monocle.k_90" 12 19 4846 7613 0.387096774193548 0.388955774941809 "Monocle" "k_90"
"19" "Monocle.k_95" 14 17 5798 6661 0.451612903225806 0.465366401797897 "Monocle" "k_95"
"20" "SC3.10" 12 8 8494 3965 0.6 0.681756160205474 "SC3" "10"
"21" "SC3.11" 16 6 9900 2559 0.727272727272727 0.794606308692511 "SC3" "11"
"22" "SC3.12" 16 8 9747 2712 0.666666666666667 0.782326029376354 "SC3" "12"
"23" "SC3.13" 20 6 11395 1064 0.769230769230769 0.914599887631431 "SC3" "13"
"24" "SC3.14" 16 12 8182 4277 0.571428571428571 0.656714021992134 "SC3" "14"
"25" "SC3.15" 20 10 9513 2946 0.666666666666667 0.76354442571635 "SC3" "15"
