"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 10 25 2655 6368 0.285714285714286 0.294248032805054 "Consensus" "33"
"2" "Consensus.66" 14 17 4432 5018 0.451612903225806 0.468994708994709 "Consensus" "66"
"3" "Consensus.90" 18 8 7600 2191 0.692307692307692 0.77622306199571 "Consensus" "90"
"4" "Consensus.Final" 22 7 8864 2236 0.758620689655172 0.798558558558559 "Consensus" "Final"
"5" "Consensus.Initial" 8 34 1995 6889 0.19047619047619 0.224561008554705 "Consensus" "Initial"
"6" "Monocle.33" 12 34 4056 8403 0.260869565217391 0.325547796773417 "Monocle" "33"
"7" "Monocle.66" 16 26 5840 6619 0.380952380952381 0.468737458865077 "Monocle" "66"
"8" "Monocle.90" 18 19 8517 3942 0.486486486486487 0.683602215266073 "Monocle" "90"
"9" "Monocle.Final" 18 13 8829 3630 0.580645161290323 0.708644353479412 "Monocle" "Final"
"10" "Monocle.Initial" 10 43 3033 9426 0.188679245283019 0.243438478208524 "Monocle" "Initial"
"11" "RSEC.33" 16 45 4479 6360 0.262295081967213 0.413230002767783 "RSEC" "33"
"12" "RSEC.66" 18 31 5012 5827 0.36734693877551 0.462404280837716 "RSEC" "66"
"13" "RSEC.90" 20 25 7211 3628 0.444444444444444 0.66528277516376 "RSEC" "90"
"14" "RSEC.Final" 20 9 7731 3108 0.689655172413793 0.713257680597841 "RSEC" "Final"
"15" "RSEC.Initial" 18 44 4839 6000 0.290322580645161 0.446443398837531 "RSEC" "Initial"
"16" "sc3.33" 20 35 4973 7486 0.363636363636364 0.399149209406854 "sc3" "33"
"17" "sc3.66" 20 35 4973 7486 0.363636363636364 0.399149209406854 "sc3" "66"
"18" "sc3.90" 24 26 8104 4355 0.48 0.650453487438799 "sc3" "90"
"19" "sc3.Final" 22 10 9710 2749 0.6875 0.779356288626696 "sc3" "Final"
"20" "sc3.Initial" 18 39 4954 7505 0.315789473684211 0.397624207400273 "sc3" "Initial"
"21" "Seurat.33" 20 25 8086 4373 0.444444444444444 0.649008748695722 "Seurat" "33"
"22" "Seurat.66" 20 21 8255 4204 0.48780487804878 0.662573240227948 "Seurat" "66"
"23" "Seurat.90" 20 18 8557 3902 0.526315789473684 0.686812745806245 "Seurat" "90"
"24" "Seurat.Final" 22 10 9639 2820 0.6875 0.773657596917891 "Seurat" "Final"
"25" "Seurat.Initial" 16 31 6231 6228 0.340425531914894 0.500120394895256 "Seurat" "Initial"
