"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 46 84 45056 126126 0.353846153846154 0.263205243541961 "Consensus" "33"
"2" "Consensus.66" 48 79 58038 118426 0.377952755905512 0.328894278719739 "Consensus" "66"
"3" "Consensus.90" 49 62 63734 120711 0.441441441441441 0.345544742335113 "Consensus" "90"
"4" "Consensus.Final" 55 30 117889 78622 0.647058823529412 0.599910437583647 "Consensus" "Final"
"5" "Consensus.Initial" 57 93 55511 112260 0.38 0.330873631318881 "Consensus" "Initial"
"6" "Monocle.33" 55 192 30611 183426 0.222672064777328 0.143017328779604 "Monocle" "33"
"7" "Monocle.66" 54 158 30924 183113 0.254716981132075 0.144479692763401 "Monocle" "66"
"8" "Monocle.90" 55 107 31917 182120 0.339506172839506 0.149119077542668 "Monocle" "90"
"9" "Monocle.Final" 57 32 141591 72446 0.640449438202247 0.661525810957919 "Monocle" "Final"
"10" "Monocle.Initial" 51 224 28781 185256 0.185454545454545 0.134467405168265 "Monocle" "Initial"
"11" "Seurat.33" 61 33 154508 59529 0.648936170212766 0.721875189803632 "Seurat" "33"
"12" "Seurat.66" 61 31 166551 47486 0.66304347826087 0.778141162509286 "Seurat" "66"
"13" "Seurat.90" 61 29 170163 43874 0.677777777777778 0.795016749440517 "Seurat" "90"
"14" "Seurat.Final" 57 26 175619 38418 0.686746987951807 0.820507669234758 "Seurat" "Final"
"15" "Seurat.Initial" 61 33 154508 59529 0.648936170212766 0.721875189803632 "Seurat" "Initial"
"16" "sc3.33" 52 186 41181 172856 0.218487394957983 0.192401313791541 "sc3" "33"
"17" "sc3.66" 50 180 38261 175776 0.217391304347826 0.17875881272864 "sc3" "66"
"18" "sc3.90" 52 154 43380 170657 0.252427184466019 0.202675238393362 "sc3" "90"
"19" "sc3.Final" 53 46 107936 106101 0.535353535353535 0.504286642029182 "sc3" "Final"
"20" "sc3.Initial" 52 205 30159 183878 0.202334630350195 0.140905544368497 "sc3" "Initial"
