"cluster_label","subclass_label","class_label","cluster_color","size","gene.counts","cluster_id"
"Lamp5 Pax6","Lamp5","GABAergic","#DDACC9",303,4389,1
"Lamp5 Egln3_1","Lamp5","GABAergic","#FF88AD",229,4246,2
"Lamp5 Egln3_2","Lamp5","GABAergic","#DD8091",335,4040,3
"Lamp5 Pdlim5_2","Lamp5","GABAergic","#FF829E",386,3559,4
"Lamp5 Pdlim5_1","Lamp5","GABAergic","#FF7290",1191,4003,5
"Lamp5 Slc35d3","Lamp5","GABAergic","#FFA388",3275,4467,6
"Lamp5 Lhx6","Lamp5","GABAergic","#C77963",294,4301,7
"Sncg Col14a1_1","Sncg","GABAergic","#6C00BF",101,5801,8
"Sncg Col14a1_2","Sncg","GABAergic","#7E0ACB",276,5123,9
"Sncg Col14a1_3","Sncg","GABAergic","#8F1ADB",72,5312,10
"Sncg Slc17a8","Sncg","GABAergic","#9440F3",268,5570,11
"Sncg Calb1_3","Sncg","GABAergic","#9611B6",102,6132,12
"Sncg Npy2r_2","Sncg","GABAergic","#8B02A5",91,4441,13
"Sncg Npy2r_1","Sncg","GABAergic","#7A0099",284,4487,14
"Sncg Calb1_1","Sncg","GABAergic","#A20EAC",127,5568,15
"Sncg Calb1_2","Sncg","GABAergic","#9900B3",79,5842,16
"Vip Serpinf1_1","Vip","GABAergic","#A720FF",123,4210,17
"Vip Serpinf1_2","Vip","GABAergic","#AB1DFF",313,4015,18
"Vip Htr1f_2","Vip","GABAergic","#FF5FCD",139,4190,19
"Vip Htr1f_3","Vip","GABAergic","#FF6FCF",48,4018,20
"Vip Htr1f_1","Vip","GABAergic","#FF4DC1",725,3190,21
"Vip Htr1f_4","Vip","GABAergic","#EC7CDF",76,3711,22
"Vip Igfbp6_1","Vip","GABAergic","#7779BF",502,3077,23
"Vip Igfbp6_2","Vip","GABAergic","#8584C3",357,3103,24
"Vip Igfbp6_3","Vip","GABAergic","#8F8ED2",35,2757,25
"Vip Lmo1","Vip","GABAergic","#9FAAFF",200,3329,26
"Vip Mybpc1","Vip","GABAergic","#F70CF3",427,3641,27
"Vip Chat","Vip","GABAergic","#FF00FF",1328,3096,28
"Vip Lypd1","Vip","GABAergic","#B3128A",432,2934,29
"Vip Pbx3 Igfbp4","Vip","GABAergic","#FF00B3",103,3210,30
"Vip Cbln4","Vip","GABAergic","#FC26D2",371,3338,31
"Vip Gpc3","Vip","GABAergic","#B09FFF",762,3529,32
"Vip C1ql1","Vip","GABAergic","#BD3D9A",774,3374,33
"Vip Crispld2","Vip","GABAergic","#992E81",803,3313,34
"Sst Chodl","Sst","GABAergic","#FFFF00",355,4970,35
"Sst Myh8_1","Sst","GABAergic","#FF8011",265,3839,36
"Sst Myh8_2","Sst","GABAergic","#FF9F2C",1652,3943,37
"Sst Myh8_3","Sst","GABAergic","#FFB22B",118,5000,38
"Sst Myh8_4","Sst","GABAergic","#FFB307",422,4357,39
"Sst Hspe_1","Sst","GABAergic","#FFBF09",136,4805,40
"Sst Hpse_2","Sst","GABAergic","#BFAF00",226,4969,41
"Sst Hpse_3","Sst","GABAergic","#CDB115",321,4872,42
"Sst Sfrp2","Sst","GABAergic","#BF880D",109,5274,43
"Sst Calb2","Sst","GABAergic","#D2A328",571,4781,44
"Sst C1ql3_1","Sst","GABAergic","#802600",366,4661,45
"Sst C1ql3_2","Sst","GABAergic","#804600",281,5230,46
"Sst C1ql3_3","Sst","GABAergic","#90620F",125,5507,47
"Sst C1ql3_4","Sst","GABAergic","#B97541",61,4773,48
"Sst Crhr2_1","Sst","GABAergic","#BE8652",591,5060,49
"Sst Crhr2_2","Sst","GABAergic","#B0993C",458,5248,50
"Sst Th","Sst","GABAergic","#A81111",130,5068,51
"Sst Pvalb Etv1_1","Sst","GABAergic","#D9C566",300,5279,52
"Sst Pvalb Etv1_2","Sst","GABAergic","#804811",714,4798,53
"Pvalb Sst Calb1","Pvalb","GABAergic","#BC2B11",135,5714,54
"Sst Th Etv1","Sst","GABAergic","#A83111",42,4375,55
"Pvalb Gabrg1","Pvalb","GABAergic","#ED4C50",294,4207,56
"Pvalb Sst Th","Pvalb","GABAergic","#FF2F7E",138,5465,57
"Pvalb Calb1","Pvalb","GABAergic","#BC4B11",281,5487,58
"Pvalb Prdm8","Pvalb","GABAergic","#BC2C51",190,5914,59
"Pvalb Gpr149","Pvalb","GABAergic","#E62A5D",427,5196,60
"Pvalb Il1rapl2","Pvalb","GABAergic","#BC2C41",799,5146,61
"Pvalb Reln_2","Pvalb","GABAergic","#BC2D71",2157,4473,62
"Pvalb Reln_1","Pvalb","GABAergic","#9D357A",176,5066,63
"Pvalb Vipr2","Pvalb","GABAergic","#FF197F",248,4405,64
"L2/3 IT Cdh13 Fos","L2/3 IT","Glutamatergic","#7E9376",497,5202,65
"L2/3 IT Cdh13 Sla","L2/3 IT","Glutamatergic","#81B389",653,5840,66
"L2/3 IT Cdh13 Met","L2/3 IT","Glutamatergic","#7F867C",988,4870,67
"L2/3 IT S100a6 ","L2/3 IT","Glutamatergic","#6F836B",9172,5257,68
"L2/3 IT Macc1","L2/3 IT","Glutamatergic","#7A8076",134,5918,69
