cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_A1_cell62,19,28,4,108,19,28,4,107,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_A1_cell294,62,8,10,15,12,15,3,36,1,15,3,52,1,15,3,55,39,8,10,52
Evan_MC_A1_cell613,12,15,3,142,49,10,6,2,49,10,6,2,49,6,6,1,1,15,3,50
Evan_MC_A1_cell751,24,17,5,85,14,20,1,-1,14,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_A1_cell767,6,20,1,16,49,13,6,2,49,13,6,2,49,13,6,1,4,14,1,4
Evan_MC_A1_cell1060,62,8,10,15,49,19,6,2,49,19,6,2,49,6,6,1,39,8,10,52
Evan_MC_A1_cell1071,33,21,9,-1,31,24,7,1,31,4,7,1,31,4,7,2,33,21,9,6
Evan_MC_A1_cell1296,27,1,5,13,49,19,6,2,49,19,6,2,49,6,6,1,20,1,5,20
Evan_MC_A1_cell1318,73,13,8,54,49,19,6,2,49,19,6,2,49,6,6,1,73,13,8,30
Evan_MC_A1_cell1413,12,15,3,142,14,14,1,-1,14,14,1,3,4,14,1,5,1,15,3,50
Evan_MC_A1_cell1641,31,22,12,20,24,17,5,9,24,17,5,9,24,17,5,10,10,22,12,17
Evan_MC_A1_cell1864,49,3,7,14,79,9,2,34,79,9,2,33,79,9,2,38,16,3,7,19
Evan_MC_A1_cell1922,49,11,2,55,6,14,1,73,5,14,1,3,4,14,1,5,16,9,2,46
Evan_MC_A1_cell2463,12,15,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell2611,24,17,5,85,12,15,3,36,1,15,3,52,1,15,3,55,20,1,5,20
Evan_MC_A1_cell2745,53,6,6,-1,49,3,26,-1,49,3,26,-1,49,3,6,1,53,6,6,45
Evan_MC_A1_cell3153,49,19,6,2,49,19,6,2,49,19,6,2,49,6,6,1,16,6,6,45
Evan_MC_A1_cell3255,69,29,17,-1,52,7,14,52,52,7,14,51,52,7,14,47,50,29,17,-1
Evan_MC_A1_cell3267,49,19,6,2,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_A1_cell3401,64,29,17,-1,79,9,2,34,79,9,2,33,79,9,2,38,64,29,17,-1
Evan_MC_A1_cell3437,52,7,14,52,12,15,3,36,1,15,3,52,1,15,3,55,52,7,14,40
Evan_MC_A1_cell3480,21,16,11,4,49,10,6,2,49,10,6,2,49,6,6,1,21,16,11,14
Evan_MC_A1_cell3501,12,15,3,142,31,21,7,1,31,21,7,1,31,21,7,2,1,15,3,50
Evan_MC_A1_cell3699,20,1,5,13,73,13,8,64,73,13,8,63,73,13,8,53,20,1,5,20
Evan_MC_A1_cell3712,2,26,3,-1,18,2,4,90,17,2,4,81,17,2,4,67,1,15,3,50
Evan_MC_A1_cell3721,58,18,11,-1,65,12,20,-1,65,12,20,-1,65,12,20,-1,21,16,11,14
Evan_MC_A1_cell3820,68,31,13,19,63,22,12,17,63,22,12,18,63,22,12,19,68,31,13,11
Evan_MC_A1_cell3945,79,34,2,60,24,17,5,9,24,17,5,9,24,17,5,10,51,9,2,46
Evan_MC_A1_cell3954,80,17,1,-1,5,35,1,57,5,14,1,3,4,14,1,5,51,1,1,-1
Evan_MC_A1_cell4076,19,28,4,108,49,19,6,2,49,19,6,2,49,6,6,1,17,4,4,53
Evan_MC_A1_cell4174,4,30,9,9,53,19,6,-1,53,19,6,-1,53,6,6,-1,4,21,9,6
Evan_MC_A1_cell4424,49,19,6,2,73,13,8,64,73,13,8,63,73,13,8,53,16,6,6,45
Evan_MC_A1_cell4785,79,11,2,55,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_A1_cell4802,53,18,11,-1,49,19,10,-1,49,19,10,-1,49,6,10,-1,53,16,11,14
Evan_MC_A1_cell4952,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_A1_cell5158,24,17,5,85,31,3,7,1,31,3,7,1,31,3,7,2,20,1,5,20
Evan_MC_A1_cell5256,62,8,10,15,49,3,6,2,49,3,6,2,49,3,6,1,39,8,10,52
Evan_MC_A1_cell5501,12,26,3,142,21,16,11,5,21,16,11,6,21,16,11,4,1,15,3,50
Evan_MC_A1_cell5614,53,30,9,9,65,8,10,12,65,8,10,7,65,8,10,13,53,21,9,6
Evan_MC_A1_cell5660,63,22,12,20,49,3,6,2,49,3,6,2,49,3,6,1,63,22,12,17
Evan_MC_A1_cell6280,75,25,16,-1,64,29,17,-1,64,29,17,-1,64,29,17,-1,75,25,16,-1
Evan_MC_A1_cell6326,57,30,9,9,31,3,7,1,31,3,7,1,31,3,7,2,57,21,9,6
Evan_MC_A1_cell6618,79,34,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
