"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","Consensus.Initial","sc3.33","Monocle.33","Seurat.33","Consensus.33","sc3.66","Monocle.66","Seurat.66","Consensus.66","sc3.90","Monocle.90","Seurat.90","Consensus.90","sc3.Final","Monocle.Final","Seurat.Final","Consensus.Final"
"1","LS-15395_S41_E1-50",17,26,15,18,17,26,15,16,17,26,15,15,17,26,9,8,16,20,9,6
"2","LS-15395_S42_E1-50",17,26,15,18,17,26,15,16,17,26,15,15,17,26,9,8,16,20,9,6
"3","LS-15395_S43_E1-50",22,7,25,-1,22,7,25,-1,22,7,25,-1,22,7,25,-1,22,7,25,-1
"4","LS-15395_S44_E1-50",23,4,19,19,23,4,19,17,23,4,19,16,23,4,19,14,23,4,19,14
"5","LS-15395_S46_E1-50",24,12,6,5,24,12,6,5,24,12,6,6,24,3,6,7,24,3,6,10
"6","LS-15395_S47_E1-50",18,27,12,20,18,27,12,18,18,27,12,17,18,27,12,15,18,27,12,16
"7","LS-15395_S48_E1-50",24,12,6,5,24,12,6,5,24,12,6,6,24,3,6,7,24,3,6,10
"8","LS-15395_S49_E1-50",15,17,13,16,15,17,13,14,15,17,13,13,15,17,13,12,15,17,13,9
"9","LS-15395_S50_E1-50",24,12,6,5,24,12,6,5,24,12,6,6,24,3,6,7,24,3,6,10
"10","LS-15395_S51_E1-50",17,26,15,18,17,26,15,16,17,26,15,15,17,26,9,8,16,20,9,6
"11","LS-15395_S52_E1-50",23,4,19,19,23,4,19,17,23,4,19,16,23,4,19,14,23,4,19,14
"12","LS-15395_S53_E1-50",16,20,15,-1,16,20,15,-1,16,20,15,-1,16,20,9,-1,16,20,9,6
"13","LS-15395_S54_E1-50",9,14,2,1,9,14,2,2,9,14,2,2,9,14,2,2,8,14,2,2
"14","LS-15395_S55_E1-50",16,20,15,-1,16,20,15,-1,16,20,15,-1,16,20,9,-1,16,20,9,6
"15","LS-15395_S56_E1-50",3,16,23,7,3,16,23,6,3,16,23,7,3,16,23,9,3,16,14,8
"16","LS-15396_S41_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"17","LS-15396_S42_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"18","LS-15396_S43_E1-50",19,24,12,17,19,24,12,15,19,24,12,14,19,24,12,13,19,24,12,13
"19","LS-15396_S45_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"20","LS-15396_S46_E1-50",10,30,16,15,10,30,16,13,10,29,16,12,10,5,5,3,10,5,5,3
"21","LS-15396_S47_E1-50",7,16,17,-1,7,16,17,-1,7,16,17,-1,7,16,2,-1,5,16,2,-1
"22","LS-15396_S48_E1-50",17,26,15,18,17,26,15,16,17,26,15,15,17,26,9,8,16,20,9,6
"23","LS-15396_S49_E1-50",3,16,8,7,3,16,8,6,3,16,8,7,3,16,8,9,3,16,8,8
"24","LS-15396_S52_E1-50",3,16,23,7,3,16,23,6,3,16,23,7,3,16,23,9,3,16,14,8
"25","LS-15396_S53_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"26","LS-15396_S54_E1-50",3,16,23,7,3,16,23,6,3,16,23,7,3,16,23,9,3,16,14,8
"27","LS-15396_S55_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"28","LS-15396_S56_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"29","LS-15396_S57_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"30","LS-15396_S58_E1-50",3,16,23,7,3,16,23,6,3,16,23,7,3,16,23,9,3,16,14,8
"31","LS-15396_S59_E1-50",18,27,12,20,18,27,12,18,18,27,12,17,18,27,12,15,18,27,12,16
"32","LS-15396_S60_E1-50",15,17,13,16,15,17,13,14,15,17,13,13,15,17,13,12,15,17,13,9
"33","LS-15396_S61_E1-50",20,1,24,-1,20,1,24,-1,20,1,24,-1,20,1,24,-1,20,1,24,-1
"34","LS-15396_S62_E1-50",24,3,6,5,24,3,6,5,24,3,6,6,24,3,6,7,24,3,6,10
"35","LS-15396_S63_E1-50",6,16,17,-1,6,16,17,-1,6,16,17,-1,6,16,2,-1,3,16,2,8
"36","LS-15396_S64_E1-50",23,4,19,19,23,4,19,17,23,4,19,16,23,4,19,14,23,4,19,14
"37","LS-15396_S73_E1-50",21,25,13,-1,21,25,13,-1,21,25,13,-1,21,25,13,-1,21,17,13,9
"38","LS-15396_S74_E1-50",12,8,3,2,12,8,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"39","LS-15396_S75_E1-50",9,19,2,1,9,19,2,2,9,14,2,2,9,14,2,2,8,14,2,2
"40","LS-15396_S76_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"41","LS-15396_S77_E1-50",12,8,3,2,12,8,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"42","LS-15396_S78_E1-50",18,28,12,20,18,28,12,18,18,28,12,17,18,28,12,15,18,18,12,16
"43","LS-15396_S79_E1-50",12,8,3,2,12,8,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"44","LS-15396_S80_E1-50",19,24,12,17,19,24,12,15,19,24,12,14,19,24,12,13,19,24,12,13
"45","LS-15396_S81_E1-50",4,16,23,-1,4,16,23,-1,4,16,23,-1,4,16,23,-1,3,16,14,8
"46","LS-15396_S82_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"47","LS-15396_S83_E1-50",15,17,13,16,15,17,13,14,15,17,13,13,15,17,13,12,15,17,13,9
"48","LS-15396_S84_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"49","LS-15396_S85_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"50","LS-15396_S86_E1-50",18,27,12,20,18,27,12,18,18,27,12,17,18,27,12,15,18,27,12,16
"51","LS-15396_S87_E1-50",15,25,13,16,15,25,13,14,15,25,13,13,15,25,13,12,15,17,13,9
"52","LS-15396_S88_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"53","LS-15398_S17_E1-50",19,24,12,17,19,24,12,15,19,24,12,14,19,24,12,13,19,24,12,13
"54","LS-15398_S18_E1-50",12,8,3,2,12,8,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"55","LS-15398_S19_E1-50",20,1,24,-1,20,1,24,-1,20,1,24,-1,20,1,24,-1,20,1,24,-1
"56","LS-15398_S20_E1-50",9,19,2,1,9,19,2,2,9,14,2,2,9,14,2,2,8,14,2,2
"57","LS-15398_S21_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"58","LS-15398_S22_E1-50",3,16,17,7,3,16,17,6,3,16,17,7,3,16,2,9,3,16,2,8
"59","LS-15398_S23_E1-50",15,25,13,16,15,25,13,14,15,25,13,13,15,25,13,12,15,17,13,9
"60","LS-15398_S24_E1-50",19,24,12,17,19,24,12,15,19,24,12,14,19,24,12,13,19,24,12,13
"61","LS-15398_S25_E1-50",9,19,2,1,9,19,2,2,9,14,2,2,9,14,2,2,8,14,2,2
"62","LS-15398_S26_E1-50",15,17,13,16,15,17,13,14,15,17,13,13,15,17,13,12,15,17,13,9
"63","LS-15398_S27_E1-50",20,1,24,-1,20,1,24,-1,20,1,24,-1,20,1,24,-1,20,1,24,-1
"64","LS-15398_S28_E1-50",18,28,12,20,18,28,12,18,18,28,12,17,18,28,12,15,18,18,12,16
"65","LS-15398_S29_E1-50",12,6,3,2,12,6,3,3,12,6,3,3,12,6,3,4,12,6,3,4
"66","LS-15398_S30_E1-50",9,19,17,-1,9,19,17,-1,9,14,17,2,9,14,2,2,8,14,2,2
"67","LS-15398_S31_E1-50",18,27,12,20,18,27,12,18,18,27,12,17,18,27,12,15,18,27,12,16
