"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","Consensus.Initial","sc3.33","Monocle.33","Seurat.33","Consensus.33","sc3.66","Monocle.66","Seurat.66","Consensus.66","sc3.90","Monocle.90","Seurat.90","Consensus.90","sc3.Final","Monocle.Final","Seurat.Final","Consensus.Final"
"1","SM-GE653_S113_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"2","SM-GE653_S114_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"3","SM-GE653_S115_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"4","SM-GE653_S116_E1-50",13,3,8,-1,13,3,8,-1,13,3,8,-1,13,3,8,-1,12,3,8,-1
"5","SM-GE653_S117_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"6","SM-GE653_S118_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"7","SM-GE653_S119_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"8","SM-GE653_S120_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"9","SM-GE653_S121_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"10","SM-GE653_S122_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"11","SM-GE653_S123_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"12","SM-GE653_S124_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"13","SM-GE653_S125_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"14","SM-GE653_S126_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"15","SM-GE653_S127_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"16","SM-GE653_S128_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"17","SM-GE653_S129_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"18","SM-GE653_S130_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"19","SM-GE653_S131_E1-50",22,23,8,15,22,23,8,14,22,23,8,14,22,23,8,13,22,23,8,14
"20","SM-GE653_S132_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"21","SM-GE653_S133_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"22","SM-GE653_S134_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"23","SM-GE653_S135_E1-50",13,16,11,-1,13,16,11,-1,13,16,11,-1,13,16,11,-1,12,16,11,8
"24","SM-GE653_S136_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"25","SM-GE653_S137_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"26","SM-GE653_S138_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"27","SM-GE653_S139_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"28","SM-GE653_S140_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"29","SM-GE653_S141_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"30","SM-GE653_S142_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"31","SM-GE653_S143_E1-50",9,13,3,13,9,13,3,12,9,13,3,12,8,13,3,3,8,2,3,3
"32","SM-GE653_S144_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"33","SM-GE653_S145_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"34","SM-GE653_S146_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"35","SM-GE653_S147_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"36","SM-GE653_S148_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"37","SM-GE653_S149_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"38","SM-GE653_S150_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"39","SM-GE653_S151_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"40","SM-GE653_S152_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"41","SM-GE653_S154_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"42","SM-GE653_S155_E1-50",23,3,10,10,23,3,10,9,23,3,10,9,23,3,10,9,23,3,10,9
"43","SM-GE653_S156_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"44","SM-GE653_S157_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"45","SM-GE653_S158_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"46","SM-GE653_S159_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"47","SM-GE653_S160_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"48","SM-GE653_S161_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"49","SM-GE653_S162_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","SM-GE653_S163_E1-50",24,17,12,11,24,17,12,10,24,17,12,10,24,17,12,10,24,17,12,10
"51","SM-GE653_S164_E1-50",27,2,4,8,27,2,4,7,27,2,4,7,27,2,4,7,26,2,4,5
"52","SM-GE653_S165_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"53","SM-GE653_S166_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"54","SM-GE653_S167_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"55","SM-GE653_S168_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"56","SM-GE653_S169_E1-50",25,15,14,16,25,15,14,15,25,15,14,15,25,15,14,14,25,15,14,15
"57","SM-GE653_S171_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"58","SM-GE653_S172_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59","SM-GE653_S173_E1-50",1,15,8,17,1,15,8,16,1,15,8,17,1,15,8,15,1,15,8,16
"60","SM-GE653_S174_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61","SM-GE653_S175_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62","SM-GE653_S176_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63","SM-GE653_S178_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","SM-GE653_S179_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65","SM-GE653_S180_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
