"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 6 52 7486 79686 0.103448275862069 0.0858761987794246 "Consensus" "33"
"2" "Consensus.66" 6 49 7486 81892 0.109090909090909 0.0837566291481125 "Consensus" "66"
"3" "Consensus.90" 6 43 9809 85005 0.122448979591837 0.103455185943004 "Consensus" "90"
"4" "Consensus.Final" 10 35 34499 60974 0.222222222222222 0.36134823457941 "Consensus" "Final"
"5" "Consensus.Initial" 4 64 4342 79618 0.0588235294117647 0.0517151024297284 "Consensus" "Initial"
"6" "Monocle.33" 12 57 10738 103350 0.173913043478261 0.0941203281677302 "Monocle" "33"
"7" "Monocle.66" 12 49 10738 103350 0.19672131147541 0.0941203281677302 "Monocle" "66"
"8" "Monocle.90" 14 39 15493 98595 0.264150943396226 0.135798681719375 "Monocle" "90"
"9" "Monocle.Final" 18 30 24232 89856 0.375 0.212397447584321 "Monocle" "Final"
"10" "Monocle.Initial" 10 66 7471 106617 0.131578947368421 0.0654845382511745 "Monocle" "Initial"
"11" "sc3.33" 6 188 2997 111091 0.0309278350515464 0.0262691957085758 "sc3" "33"
"12" "sc3.66" 6 178 2997 111091 0.0326086956521739 0.0262691957085758 "sc3" "66"
"13" "sc3.90" 6 164 2997 111091 0.0352941176470588 0.0262691957085758 "sc3" "90"
"14" "sc3.Final" 12 53 17920 96168 0.184615384615385 0.157071734099993 "sc3" "Final"
"15" "sc3.Initial" 6 194 2997 111091 0.03 0.0262691957085758 "sc3" "Initial"
"16" "Seurat.33" 12 51 14157 99931 0.19047619047619 0.124088422971741 "Seurat" "33"
"17" "Seurat.66" 12 49 14157 99931 0.19672131147541 0.124088422971741 "Seurat" "66"
"18" "Seurat.90" 14 44 17232 96856 0.241379310344828 0.151041301451511 "Seurat" "90"
"19" "Seurat.Final" 18 28 24478 89610 0.391304347826087 0.214553677862702 "Seurat" "Final"
"20" "Seurat.Initial" 12 52 14157 99931 0.1875 0.124088422971741 "Seurat" "Initial"
