"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 0 64 0 0 0 NA "Consensus" "33"
"2" "Consensus.66" 0 60 0 0 0 NA "Consensus" "66"
"3" "Consensus.90" 0 45 0 0 0 NA "Consensus" "90"
"4" "Consensus.Final" 0 44 0 0 0 NA "Consensus" "Final"
"5" "Consensus.Initial" 0 67 0 0 0 NA "Consensus" "Initial"
"6" "Monocle.00" 0 97 0 129443 0 0 "Monocle" NA
"7" "Monocle.05" 0 96 0 129443 0 0 "Monocle" NA
"8" "Monocle.10" 0 96 0 129443 0 0 "Monocle" NA
"9" "Monocle.100" 0 55 0 129443 0 0 "Monocle" NA
"10" "Monocle.15" 0 94 0 129443 0 0 "Monocle" NA
"11" "Monocle.20" 0 94 0 129443 0 0 "Monocle" NA
"12" "Monocle.25" 0 93 0 129443 0 0 "Monocle" NA
"13" "Monocle.30" 0 93 0 129443 0 0 "Monocle" NA
"14" "Monocle.33" 0 64 0 0 0 NA "Monocle" "33"
"15" "Monocle.35" 0 92 0 129443 0 0 "Monocle" NA
"16" "Monocle.40" 0 90 0 129443 0 0 "Monocle" NA
"17" "Monocle.45" 0 90 0 129443 0 0 "Monocle" NA
"18" "Monocle.50" 0 90 0 129443 0 0 "Monocle" NA
"19" "Monocle.55" 0 88 0 129443 0 0 "Monocle" NA
"20" "Monocle.60" 0 85 0 129443 0 0 "Monocle" NA
"21" "Monocle.65" 0 83 0 129443 0 0 "Monocle" NA
"22" "Monocle.66" 0 59 0 0 0 NA "Monocle" "66"
"23" "Monocle.70" 0 81 0 129443 0 0 "Monocle" NA
"24" "Monocle.75" 0 78 0 129443 0 0 "Monocle" NA
"25" "Monocle.80" 0 75 0 129443 0 0 "Monocle" NA
"26" "Monocle.85" 0 71 0 129443 0 0 "Monocle" NA
"27" "Monocle.90" 0 68 0 129443 0 0 "Monocle" "90"
"28" "Monocle.95" 0 64 0 129443 0 0 "Monocle" NA
"29" "Monocle.Final" 0 38 0 0 0 NA "Monocle" "Final"
"30" "Monocle.Initial" 0 68 0 0 0 NA "Monocle" "Initial"
"31" "sc3.00" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"32" "sc3.05" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"33" "sc3.10" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"34" "sc3.100" 18 58 10049 119394 0.236842105263158 0.0776326259434655 "sc3" NA
"35" "sc3.15" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"36" "sc3.20" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"37" "sc3.25" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"38" "sc3.30" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"39" "sc3.33" 0 96 0 0 0 NA "sc3" "33"
"40" "sc3.35" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"41" "sc3.40" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"42" "sc3.45" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"43" "sc3.50" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"44" "sc3.55" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"45" "sc3.60" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"46" "sc3.65" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"47" "sc3.66" 0 92 0 0 0 NA "sc3" "66"
"48" "sc3.70" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"49" "sc3.75" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"50" "sc3.80" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"51" "sc3.85" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" NA
"52" "sc3.90" 16 111 14561 114882 0.125984251968504 0.112489667266673 "sc3" "90"
"53" "sc3.95" 14 112 11635 117808 0.111111111111111 0.0898851231816321 "sc3" NA
"54" "sc3.Final" 0 45 0 0 0 NA "sc3" "Final"
"55" "sc3.Initial" 0 100 0 0 0 NA "sc3" "Initial"
"56" "Seurat.00" 0 75 0 129443 0 0 "Seurat" NA
"57" "Seurat.05" 0 75 0 129443 0 0 "Seurat" NA
"58" "Seurat.10" 0 75 0 129443 0 0 "Seurat" NA
"59" "Seurat.100" 0 56 0 129443 0 0 "Seurat" NA
"60" "Seurat.15" 0 75 0 129443 0 0 "Seurat" NA
"61" "Seurat.20" 0 75 0 129443 0 0 "Seurat" NA
"62" "Seurat.25" 0 74 0 129443 0 0 "Seurat" NA
"63" "Seurat.30" 0 74 0 129443 0 0 "Seurat" NA
"64" "Seurat.33" 0 45 0 0 0 NA "Seurat" "33"
"65" "Seurat.35" 0 74 0 129443 0 0 "Seurat" NA
"66" "Seurat.40" 0 74 0 129443 0 0 "Seurat" NA
"67" "Seurat.45" 0 74 0 129443 0 0 "Seurat" NA
"68" "Seurat.50" 0 73 0 129443 0 0 "Seurat" NA
"69" "Seurat.55" 0 73 0 129443 0 0 "Seurat" NA
"70" "Seurat.60" 0 73 0 129443 0 0 "Seurat" NA
"71" "Seurat.65" 0 73 0 129443 0 0 "Seurat" NA
"72" "Seurat.66" 0 44 0 0 0 NA "Seurat" "66"
"73" "Seurat.70" 0 72 0 129443 0 0 "Seurat" NA
"74" "Seurat.75" 0 72 0 129443 0 0 "Seurat" NA
"75" "Seurat.80" 0 70 0 129443 0 0 "Seurat" NA
"76" "Seurat.85" 0 69 0 129443 0 0 "Seurat" NA
"77" "Seurat.90" 0 67 0 129443 0 0 "Seurat" "90"
"78" "Seurat.95" 0 64 0 129443 0 0 "Seurat" NA
"79" "Seurat.Final" 0 36 0 0 0 NA "Seurat" "Final"
"80" "Seurat.Initial" 0 45 0 0 0 NA "Seurat" "Initial"
