"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 14 71 NA NA 0.164705882352941 NA "Monocle" "00"
"2" "Monocle.05" 16 69 NA NA 0.188235294117647 NA "Monocle" "05"
"3" "Monocle.10" 16 68 NA NA 0.19047619047619 NA "Monocle" "10"
"4" "Monocle.100" 12 47 NA NA 0.203389830508475 NA "Monocle" "100"
"5" "Monocle.15" 16 67 NA NA 0.192771084337349 NA "Monocle" "15"
"6" "Monocle.20" 16 66 NA NA 0.195121951219512 NA "Monocle" "20"
"7" "Monocle.25" 16 66 NA NA 0.195121951219512 NA "Monocle" "25"
"8" "Monocle.30" 16 64 NA NA 0.2 NA "Monocle" "30"
"9" "Monocle.35" 16 64 NA NA 0.2 NA "Monocle" "35"
"10" "Monocle.40" 16 64 NA NA 0.2 NA "Monocle" "40"
"11" "Monocle.45" 16 64 NA NA 0.2 NA "Monocle" "45"
"12" "Monocle.50" 16 63 NA NA 0.20253164556962 NA "Monocle" "50"
"13" "Monocle.55" 16 62 NA NA 0.205128205128205 NA "Monocle" "55"
"14" "Monocle.60" 16 62 NA NA 0.205128205128205 NA "Monocle" "60"
"15" "Monocle.65" 16 62 NA NA 0.205128205128205 NA "Monocle" "65"
"16" "Monocle.70" 16 62 NA NA 0.205128205128205 NA "Monocle" "70"
"17" "Monocle.75" 16 62 NA NA 0.205128205128205 NA "Monocle" "75"
"18" "Monocle.80" 16 62 NA NA 0.205128205128205 NA "Monocle" "80"
"19" "Monocle.85" 16 60 NA NA 0.210526315789474 NA "Monocle" "85"
"20" "Monocle.90" 16 57 NA NA 0.219178082191781 NA "Monocle" "90"
"21" "Monocle.95" 16 53 NA NA 0.231884057971014 NA "Monocle" "95"
"22" "sc3.00" 12 118 4331 41908 0.0923076923076923 0.0936655204481066 "sc3" "00"
"23" "sc3.05" 12 118 4331 41908 0.0923076923076923 0.0936655204481066 "sc3" "05"
"24" "sc3.10" 12 118 4331 41908 0.0923076923076923 0.0936655204481066 "sc3" "10"
"25" "sc3.100" 16 55 NA NA 0.225352112676056 NA "sc3" "100"
"26" "sc3.15" 12 118 4331 41908 0.0923076923076923 0.0936655204481066 "sc3" "15"
"27" "sc3.20" 12 117 4331 41908 0.0930232558139535 0.0936655204481066 "sc3" "20"
"28" "sc3.25" 12 117 4331 NA 0.0930232558139535 NA "sc3" "25"
"29" "sc3.30" 12 115 4331 NA 0.094488188976378 NA "sc3" "30"
"30" "sc3.35" 12 115 4331 NA 0.094488188976378 NA "sc3" "35"
"31" "sc3.40" 12 114 4331 NA 0.0952380952380952 NA "sc3" "40"
"32" "sc3.45" 12 113 4331 NA 0.096 NA "sc3" "45"
"33" "sc3.50" 12 113 4331 NA 0.096 NA "sc3" "50"
"34" "sc3.55" 14 110 7455 NA 0.112903225806452 NA "sc3" "55"
"35" "sc3.60" 14 110 7455 NA 0.112903225806452 NA "sc3" "60"
"36" "sc3.65" 14 108 7455 NA 0.114754098360656 NA "sc3" "65"
"37" "sc3.70" 12 110 6815 NA 0.0983606557377049 NA "sc3" "70"
"38" "sc3.75" 12 109 6658 NA 0.0991735537190083 NA "sc3" "75"
"39" "sc3.80" 16 102 7526 NA 0.135593220338983 NA "sc3" "80"
"40" "sc3.85" 16 100 7526 NA 0.137931034482759 NA "sc3" "85"
"41" "sc3.90" 16 94 8272 NA 0.145454545454545 NA "sc3" "90"
"42" "sc3.95" 16 90 NA NA 0.150943396226415 NA "sc3" "95"
"43" "Seurat.00" 26 31 14463 NA 0.456140350877193 NA "Seurat" "00"
"44" "Seurat.05" 26 31 14463 NA 0.456140350877193 NA "Seurat" "05"
"45" "Seurat.10" 26 31 14463 NA 0.456140350877193 NA "Seurat" "10"
"46" "Seurat.100" 22 25 15109 NA 0.468085106382979 NA "Seurat" "100"
"47" "Seurat.15" 26 31 14463 NA 0.456140350877193 NA "Seurat" "15"
"48" "Seurat.20" 26 31 14463 NA 0.456140350877193 NA "Seurat" "20"
"49" "Seurat.25" 26 31 14463 NA 0.456140350877193 NA "Seurat" "25"
"50" "Seurat.30" 26 31 14463 NA 0.456140350877193 NA "Seurat" "30"
"51" "Seurat.35" 26 31 14463 NA 0.456140350877193 NA "Seurat" "35"
"52" "Seurat.40" 26 31 14463 NA 0.456140350877193 NA "Seurat" "40"
"53" "Seurat.45" 26 31 14463 NA 0.456140350877193 NA "Seurat" "45"
"54" "Seurat.50" 26 31 14463 NA 0.456140350877193 NA "Seurat" "50"
"55" "Seurat.55" 26 31 14463 NA 0.456140350877193 NA "Seurat" "55"
"56" "Seurat.60" 26 31 14463 NA 0.456140350877193 NA "Seurat" "60"
"57" "Seurat.65" 26 31 14463 NA 0.456140350877193 NA "Seurat" "65"
"58" "Seurat.70" 26 31 14463 NA 0.456140350877193 NA "Seurat" "70"
"59" "Seurat.75" 26 31 14463 NA 0.456140350877193 NA "Seurat" "75"
"60" "Seurat.80" 26 31 14463 NA 0.456140350877193 NA "Seurat" "80"
"61" "Seurat.85" 26 31 14463 NA 0.456140350877193 NA "Seurat" "85"
"62" "Seurat.90" 26 31 15000 NA 0.456140350877193 NA "Seurat" "90"
"63" "Seurat.95" 26 31 15000 NA 0.456140350877193 NA "Seurat" "95"
