"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 28 113 28101 148868 0.198581560283688 0.158790522633908 "Consensus" "33"
"2" "Consensus.66" 28 108 36867 143486 0.205882352941176 0.204415784600201 "Consensus" "66"
"3" "Consensus.90" 31 77 51387 135438 0.287037037037037 0.275054195102369 "Consensus" "90"
"4" "Consensus.Final" 49 57 102399 88879 0.462264150943396 0.535341231087736 "Consensus" "Final"
"5" "Consensus.Initial" 36 124 33597 141759 0.225 0.191593102032437 "Consensus" "Initial"
"6" "Monocle.33" 34 114 34147 179890 0.22972972972973 0.159537836916047 "Monocle" "33"
"7" "Monocle.66" 41 96 54915 159122 0.299270072992701 0.256567789681223 "Monocle" "66"
"8" "Monocle.90" 42 70 56352 157685 0.375 0.263281582156356 "Monocle" "90"
"9" "Monocle.Final" 59 39 136279 77758 0.602040816326531 0.636707672038012 "Monocle" "Final"
"10" "Monocle.Initial" 59 102 61534 152503 0.366459627329193 0.287492349453599 "Monocle" "Initial"
"11" "sc3.33" 35 194 23087 190950 0.152838427947598 0.10786452809561 "sc3" "33"
"12" "sc3.66" 34 188 22776 191261 0.153153153153153 0.106411508290623 "sc3" "66"
"13" "sc3.90" 39 140 44959 169078 0.217877094972067 0.210052467564019 "sc3" "90"
"14" "sc3.Final" 55 64 116801 97236 0.46218487394958 0.545704714605419 "sc3" "Final"
"15" "sc3.Initial" 47 190 38049 175988 0.19831223628692 0.177768329774759 "sc3" "Initial"
"16" "Seurat.33" 48 70 57210 156827 0.406779661016949 0.267290234865934 "Seurat" "33"
"17" "Seurat.66" 48 68 60669 153368 0.413793103448276 0.283450992118185 "Seurat" "66"
"18" "Seurat.90" 45 58 63129 150908 0.436893203883495 0.294944332054738 "Seurat" "90"
"19" "Seurat.Final" 56 36 126649 87388 0.608695652173913 0.591715451066872 "Seurat" "Final"
"20" "Seurat.Initial" 68 52 98915 115122 0.566666666666667 0.462139723505749 "Seurat" "Initial"
