"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 0 103 0 166096 0 0 "Consensus" "33"
"2" "Consensus.66" 0 99 0 169311 0 0 "Consensus" "66"
"3" "Consensus.90" 0 76 0 175704 0 0 "Consensus" "90"
"4" "Consensus.Final" 22 52 76453 103066 0.297297297297297 0.425876926676285 "Consensus" "Final"
"5" "Consensus.Initial" 10 109 16146 148337 0.0840336134453782 0.0981621200975177 "Consensus" "Initial"
"6" "Monocle.33" 0 99 0 201578 0 0 "Monocle" "33"
"7" "Monocle.66" 0 93 0 201578 0 0 "Monocle" "66"
"8" "Monocle.90" 0 72 0 201578 0 0 "Monocle" "90"
"9" "Monocle.Final" 24 39 91764 109814 0.380952380952381 0.455228249114487 "Monocle" "Final"
"10" "Monocle.Initial" 16 92 22001 179577 0.148148148148148 0.109143854984175 "Monocle" "Initial"
"11" "sc3.33" 2 171 1742 199836 0.0115606936416185 0.00864181607119825 "sc3" "33"
"12" "sc3.66" 2 164 1742 199836 0.0120481927710843 0.00864181607119825 "sc3" "66"
"13" "sc3.90" 2 124 1742 199836 0.0158730158730159 0.00864181607119825 "sc3" "90"
"14" "sc3.Final" 24 60 99686 101892 0.285714285714286 0.494528172717261 "sc3" "Final"
"15" "sc3.Initial" 8 172 14119 187459 0.0444444444444444 0.0700423657343559 "sc3" "Initial"
"16" "Seurat.33" 0 72 0 201578 0 0 "Seurat" "33"
"17" "Seurat.66" 0 71 0 201578 0 0 "Seurat" "66"
"18" "Seurat.90" 0 64 0 201578 0 0 "Seurat" "90"
"19" "Seurat.Final" 16 42 36162 165416 0.275862068965517 0.179394576789134 "Seurat" "Final"
"20" "Seurat.Initial" 20 53 29656 171922 0.273972602739726 0.147119229280973 "Seurat" "Initial"
