"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 36 95 NA NA 0.274809160305344 NA "Monocle" "00"
"2" "Monocle.05" 38 92 NA NA 0.292307692307692 NA "Monocle" "05"
"3" "Monocle.10" 38 91 NA NA 0.294573643410853 NA "Monocle" "10"
"4" "Monocle.100" 18 62 NA NA 0.225 NA "Monocle" "100"
"5" "Monocle.15" 38 88 NA NA 0.301587301587302 NA "Monocle" "15"
"6" "Monocle.20" 40 85 NA NA 0.32 NA "Monocle" "20"
"7" "Monocle.25" 40 83 NA NA 0.32520325203252 NA "Monocle" "25"
"8" "Monocle.30" 38 81 NA NA 0.319327731092437 NA "Monocle" "30"
"9" "Monocle.35" 38 81 NA NA 0.319327731092437 NA "Monocle" "35"
"10" "Monocle.40" 38 81 NA NA 0.319327731092437 NA "Monocle" "40"
"11" "Monocle.45" 38 81 NA NA 0.319327731092437 NA "Monocle" "45"
"12" "Monocle.50" 38 79 NA NA 0.324786324786325 NA "Monocle" "50"
"13" "Monocle.55" 38 79 NA NA 0.324786324786325 NA "Monocle" "55"
"14" "Monocle.60" 38 78 NA NA 0.327586206896552 NA "Monocle" "60"
"15" "Monocle.65" 38 78 NA NA 0.327586206896552 NA "Monocle" "65"
"16" "Monocle.70" 36 80 NA NA 0.310344827586207 NA "Monocle" "70"
"17" "Monocle.75" 36 80 NA NA 0.310344827586207 NA "Monocle" "75"
"18" "Monocle.80" 36 80 NA NA 0.310344827586207 NA "Monocle" "80"
"19" "Monocle.85" 36 78 NA NA 0.315789473684211 NA "Monocle" "85"
"20" "Monocle.90" 32 78 NA NA 0.290909090909091 NA "Monocle" "90"
"21" "Monocle.95" 28 75 NA NA 0.271844660194175 NA "Monocle" "95"
"22" "sc3.00" 10 185 8318 103028 0.0512820512820513 0.074704075584215 "sc3" "00"
"23" "sc3.05" 10 185 8318 103030 0.0512820512820513 0.0747027337715989 "sc3" "05"
"24" "sc3.10" 10 185 8318 103030 0.0512820512820513 0.0747027337715989 "sc3" "10"
"25" "sc3.100" 12 88 23250 NA 0.12 NA "sc3" "100"
"26" "sc3.15" 10 185 8318 103030 0.0512820512820513 0.0747027337715989 "sc3" "15"
"27" "sc3.20" 10 184 8318 103030 0.0515463917525773 0.0747027337715989 "sc3" "20"
"28" "sc3.25" 10 183 8318 NA 0.0518134715025907 NA "sc3" "25"
"29" "sc3.30" 10 182 8318 NA 0.0520833333333333 NA "sc3" "30"
"30" "sc3.35" 10 180 8318 NA 0.0526315789473684 NA "sc3" "35"
"31" "sc3.40" 10 177 8318 NA 0.053475935828877 NA "sc3" "40"
"32" "sc3.45" 10 176 8318 NA 0.0537634408602151 NA "sc3" "45"
"33" "sc3.50" 10 176 8318 NA 0.0537634408602151 NA "sc3" "50"
"34" "sc3.55" 10 175 8318 NA 0.0540540540540541 NA "sc3" "55"
"35" "sc3.60" 10 175 8318 NA 0.0540540540540541 NA "sc3" "60"
"36" "sc3.65" 10 173 8318 NA 0.0546448087431694 NA "sc3" "65"
"37" "sc3.70" 8 174 8149 NA 0.043956043956044 NA "sc3" "70"
"38" "sc3.75" 8 172 8149 NA 0.0444444444444444 NA "sc3" "75"
"39" "sc3.80" 8 168 8149 NA 0.0454545454545455 NA "sc3" "80"
"40" "sc3.85" 6 164 4168 NA 0.0352941176470588 NA "sc3" "85"
"41" "sc3.90" 6 156 4564 NA 0.037037037037037 NA "sc3" "90"
"42" "sc3.95" 8 143 3918 NA 0.0529801324503311 NA "sc3" "95"
"43" "Seurat.00" 26 58 17263 NA 0.30952380952381 NA "Seurat" "00"
"44" "Seurat.05" 26 58 17263 NA 0.30952380952381 NA "Seurat" "05"
"45" "Seurat.10" 26 58 17263 NA 0.30952380952381 NA "Seurat" "10"
"46" "Seurat.100" 10 54 10780 NA 0.15625 NA "Seurat" "100"
"47" "Seurat.15" 26 58 17263 NA 0.30952380952381 NA "Seurat" "15"
"48" "Seurat.20" 26 58 17263 NA 0.30952380952381 NA "Seurat" "20"
"49" "Seurat.25" 26 58 17263 NA 0.30952380952381 NA "Seurat" "25"
"50" "Seurat.30" 26 58 17263 NA 0.30952380952381 NA "Seurat" "30"
"51" "Seurat.35" 26 58 17263 NA 0.30952380952381 NA "Seurat" "35"
"52" "Seurat.40" 26 58 17263 NA 0.30952380952381 NA "Seurat" "40"
"53" "Seurat.45" 28 55 17575 NA 0.337349397590361 NA "Seurat" "45"
"54" "Seurat.50" 28 55 17575 NA 0.337349397590361 NA "Seurat" "50"
"55" "Seurat.55" 28 55 17575 NA 0.337349397590361 NA "Seurat" "55"
"56" "Seurat.60" 28 55 17575 NA 0.337349397590361 NA "Seurat" "60"
"57" "Seurat.65" 28 55 17575 NA 0.337349397590361 NA "Seurat" "65"
"58" "Seurat.70" 28 55 17575 NA 0.337349397590361 NA "Seurat" "70"
"59" "Seurat.75" 28 55 17575 NA 0.337349397590361 NA "Seurat" "75"
"60" "Seurat.80" 28 55 17575 NA 0.337349397590361 NA "Seurat" "80"
"61" "Seurat.85" 28 55 17575 NA 0.337349397590361 NA "Seurat" "85"
"62" "Seurat.90" 22 61 12997 NA 0.265060240963855 NA "Seurat" "90"
"63" "Seurat.95" 22 61 12997 NA 0.265060240963855 NA "Seurat" "95"
