"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.33" 8 70 1687 10654 0.102564102564103 0.136698808848554 "Monocle" "33"
"2" "Monocle.66" 14 53 4228 8113 0.208955223880597 0.342597844583097 "Monocle" "66"
"3" "Monocle.90" 16 41 5863 6478 0.280701754385965 0.475083056478405 "Monocle" "90"
"4" "Monocle.Final" 18 31 6584 5757 0.36734693877551 0.533506198849364 "Monocle" "Final"
"5" "Monocle.Initial" 6 79 972 11369 0.0705882352941176 0.078761850741431 "Monocle" "Initial"
"6" "sc3.33" 12 74 2614 9727 0.13953488372093 0.211814277611215 "sc3" "33"
"7" "sc3.66" 14 68 3832 8509 0.170731707317073 0.310509683169921 "sc3" "66"
"8" "sc3.90" 12 61 3968 8373 0.164383561643836 0.321529859816871 "sc3" "90"
"9" "sc3.Final" 16 35 5313 7028 0.313725490196078 0.430516165626773 "sc3" "Final"
"10" "sc3.Initial" 14 73 3148 9193 0.160919540229885 0.255084677092618 "sc3" "Initial"
"11" "Seurat.33" 18 34 5079 7262 0.346153846153846 0.411554979337169 "Seurat" "33"
"12" "Seurat.66" 20 31 5400 6941 0.392156862745098 0.437565837452394 "Seurat" "66"
"13" "Seurat.90" 20 28 5933 6408 0.416666666666667 0.480755206223159 "Seurat" "90"
"14" "Seurat.Final" 20 23 6346 5995 0.465116279069767 0.514220889717203 "Seurat" "Final"
"15" "Seurat.Initial" 16 37 4075 8266 0.30188679245283 0.330200145855279 "Seurat" "Initial"
