"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 12 58 2976 9365 0.171428571428571 0.241147394862653 "Monocle" "00"
"2" "Monocle.05" 12 56 2976 9365 0.176470588235294 0.241147394862653 "Monocle" "05"
"3" "Monocle.10" 12 54 2976 9365 0.181818181818182 0.241147394862653 "Monocle" "10"
"4" "Monocle.100" 18 14 8560 3781 0.5625 0.693622883072684 "Monocle" "100"
"5" "Monocle.15" 12 52 2976 9365 0.1875 0.241147394862653 "Monocle" "15"
"6" "Monocle.20" 14 49 4096 8245 0.222222222222222 0.331901790778705 "Monocle" "20"
"7" "Monocle.25" 16 44 5074 7267 0.266666666666667 0.411149825783972 "Monocle" "25"
"8" "Monocle.30" 16 43 5074 7267 0.271186440677966 0.411149825783972 "Monocle" "30"
"9" "Monocle.35" 18 38 5392 6949 0.321428571428571 0.43691759176728 "Monocle" "35"
"10" "Monocle.40" 20 31 6116 6225 0.392156862745098 0.495583826270156 "Monocle" "40"
"11" "Monocle.45" 20 28 6350 5991 0.416666666666667 0.51454501255976 "Monocle" "45"
"12" "Monocle.50" 20 27 6350 5991 0.425531914893617 0.51454501255976 "Monocle" "50"
"13" "Monocle.55" 20 26 6350 5991 0.434782608695652 0.51454501255976 "Monocle" "55"
"14" "Monocle.60" 20 26 6350 5991 0.434782608695652 0.51454501255976 "Monocle" "60"
"15" "Monocle.65" 22 22 8567 3774 0.5 0.69419009804716 "Monocle" "65"
"16" "Monocle.70" 22 22 8567 3774 0.5 0.69419009804716 "Monocle" "70"
"17" "Monocle.75" 22 21 8723 3618 0.511627906976744 0.706830888906896 "Monocle" "75"
"18" "Monocle.80" 20 21 8405 3936 0.48780487804878 0.681063122923588 "Monocle" "80"
"19" "Monocle.85" 20 20 8405 3936 0.5 0.681063122923588 "Monocle" "85"
"20" "Monocle.90" 18 20 7971 4370 0.473684210526316 0.645895794506118 "Monocle" "90"
"21" "Monocle.95" 18 18 8151 4190 0.5 0.660481322421198 "Monocle" "95"
"22" "sc3.00" 16 61 3992 8349 0.207792207792208 0.323474596872215 "sc3" "00"
"23" "sc3.05" 20 56 5158 7183 0.263157894736842 0.417956405477676 "sc3" "05"
"24" "sc3.10" 20 56 5158 7183 0.263157894736842 0.417956405477676 "sc3" "10"
"25" "sc3.100" 22 12 9345 2996 0.647058823529412 0.75723199092456 "sc3" "100"
"26" "sc3.15" 20 56 5158 7183 0.263157894736842 0.417956405477676 "sc3" "15"
"27" "sc3.20" 20 55 5158 7183 0.266666666666667 0.417956405477676 "sc3" "20"
"28" "sc3.25" 20 55 5158 7183 0.266666666666667 0.417956405477676 "sc3" "25"
"29" "sc3.30" 20 54 5250 7091 0.27027027027027 0.425411230856495 "sc3" "30"
"30" "sc3.35" 20 53 5250 7091 0.273972602739726 0.425411230856495 "sc3" "35"
"31" "sc3.40" 20 52 5250 7091 0.277777777777778 0.425411230856495 "sc3" "40"
"32" "sc3.45" 22 49 6022 6319 0.309859154929577 0.487966939470059 "sc3" "45"
"33" "sc3.50" 18 51 4543 7798 0.260869565217391 0.368122518434487 "sc3" "50"
"34" "sc3.55" 20 48 6556 5785 0.294117647058824 0.531237338951463 "sc3" "55"
"35" "sc3.60" 20 46 6674 5667 0.303030303030303 0.540798962806904 "sc3" "60"
"36" "sc3.65" 20 44 6600 5741 0.3125 0.534802690219593 "sc3" "65"
"37" "sc3.70" 24 37 8117 4224 0.39344262295082 0.65772627825946 "sc3" "70"
"38" "sc3.75" 24 36 8117 4224 0.4 0.65772627825946 "sc3" "75"
"39" "sc3.80" 24 33 8555 3786 0.421052631578947 0.693217729519488 "sc3" "80"
"40" "sc3.85" 22 29 8418 3923 0.431372549019608 0.682116522161899 "sc3" "85"
"41" "sc3.90" 22 28 8418 3923 0.44 0.682116522161899 "sc3" "90"
"42" "sc3.95" 20 23 8577 3764 0.465116279069767 0.695000405153553 "sc3" "95"
"43" "Seurat.00" 18 33 4195 8146 0.352941176470588 0.339923831131999 "Seurat" "00"
"44" "Seurat.05" 20 30 4981 7360 0.4 0.403613969694514 "Seurat" "05"
"45" "Seurat.10" 22 27 5989 6352 0.448979591836735 0.485292926018961 "Seurat" "10"
"46" "Seurat.100" 24 9 10576 1765 0.727272727272727 0.856980795721578 "Seurat" "100"
"47" "Seurat.15" 22 27 5989 6352 0.448979591836735 0.485292926018961 "Seurat" "15"
"48" "Seurat.20" 24 24 6546 5795 0.5 0.530427031845069 "Seurat" "20"
"49" "Seurat.25" 26 20 7174 5167 0.565217391304348 0.58131431812657 "Seurat" "25"
"50" "Seurat.30" 24 21 6791 5550 0.533333333333333 0.550279555951706 "Seurat" "30"
"51" "Seurat.35" 24 21 6791 5550 0.533333333333333 0.550279555951706 "Seurat" "35"
"52" "Seurat.40" 24 21 6791 5550 0.533333333333333 0.550279555951706 "Seurat" "40"
"53" "Seurat.45" 24 20 6791 5550 0.545454545454545 0.550279555951706 "Seurat" "45"
"54" "Seurat.50" 26 17 8774 3567 0.604651162790698 0.710963455149502 "Seurat" "50"
"55" "Seurat.55" 26 17 8774 3567 0.604651162790698 0.710963455149502 "Seurat" "55"
"56" "Seurat.60" 26 17 8774 3567 0.604651162790698 0.710963455149502 "Seurat" "60"
"57" "Seurat.65" 26 15 8865 3476 0.634146341463415 0.718337249817681 "Seurat" "65"
"58" "Seurat.70" 22 18 8011 4330 0.55 0.649137022931691 "Seurat" "70"
"59" "Seurat.75" 24 15 8678 3663 0.615384615384615 0.703184506928126 "Seurat" "75"
"60" "Seurat.80" 22 15 9109 3232 0.594594594594595 0.738108743213678 "Seurat" "80"
"61" "Seurat.85" 20 16 8313 4028 0.555555555555556 0.673608297544769 "Seurat" "85"
"62" "Seurat.90" 22 13 9592 2749 0.628571428571429 0.777246576452476 "Seurat" "90"
"63" "Seurat.95" 22 13 9592 2749 0.628571428571429 0.777246576452476 "Seurat" "95"
