"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 10 41 3004 9337 0.196078431372549 0.243416254760554 "Monocle" "00"
"2" "Monocle.05" 10 41 3004 9337 0.196078431372549 0.243416254760554 "Monocle" "05"
"3" "Monocle.10" 10 41 3004 9337 0.196078431372549 0.243416254760554 "Monocle" "10"
"4" "Monocle.100" 18 17 8489 3852 0.514285714285714 0.687869702617292 "Monocle" "100"
"5" "Monocle.15" 12 38 4278 8063 0.24 0.346649380115064 "Monocle" "15"
"6" "Monocle.20" 10 39 3004 9337 0.204081632653061 0.243416254760554 "Monocle" "20"
"7" "Monocle.25" 10 39 3004 9337 0.204081632653061 0.243416254760554 "Monocle" "25"
"8" "Monocle.30" 10 39 3004 9337 0.204081632653061 0.243416254760554 "Monocle" "30"
"9" "Monocle.35" 10 39 3004 9337 0.204081632653061 0.243416254760554 "Monocle" "35"
"10" "Monocle.40" 10 38 3004 9337 0.208333333333333 0.243416254760554 "Monocle" "40"
"11" "Monocle.45" 10 38 3004 9337 0.208333333333333 0.243416254760554 "Monocle" "45"
"12" "Monocle.50" 10 38 3004 9337 0.208333333333333 0.243416254760554 "Monocle" "50"
"13" "Monocle.55" 12 34 4122 8219 0.260869565217391 0.334008589255328 "Monocle" "55"
"14" "Monocle.60" 14 31 6195 6146 0.311111111111111 0.501985252410664 "Monocle" "60"
"15" "Monocle.65" 16 28 6771 5570 0.363636363636364 0.548658941738919 "Monocle" "65"
"16" "Monocle.70" 16 28 6771 5570 0.363636363636364 0.548658941738919 "Monocle" "70"
"17" "Monocle.75" 16 27 6884 5457 0.372093023255814 0.557815412041164 "Monocle" "75"
"18" "Monocle.80" 16 26 6969 5372 0.380952380952381 0.564703022445507 "Monocle" "80"
"19" "Monocle.85" 18 22 7929 4412 0.45 0.642492504659266 "Monocle" "85"
"20" "Monocle.90" 18 22 7929 4412 0.45 0.642492504659266 "Monocle" "90"
"21" "Monocle.95" 18 20 8262 4079 0.473684210526316 0.669475731302164 "Monocle" "95"
"22" "sc3.00" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "00"
"23" "sc3.05" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "05"
"24" "sc3.10" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "10"
"25" "sc3.100" 18 17 8533 3808 0.514285714285714 0.691435053885423 "sc3" "100"
"26" "sc3.15" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "15"
"27" "sc3.20" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "20"
"28" "sc3.25" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "25"
"29" "sc3.30" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "30"
"30" "sc3.35" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "35"
"31" "sc3.40" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "40"
"32" "sc3.45" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "45"
"33" "sc3.50" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "50"
"34" "sc3.55" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "55"
"35" "sc3.60" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "60"
"36" "sc3.65" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "65"
"37" "sc3.70" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "70"
"38" "sc3.75" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "75"
"39" "sc3.80" 18 37 7395 4946 0.327272727272727 0.599222105177862 "sc3" "80"
"40" "sc3.85" 18 37 7395 4946 0.327272727272727 0.599222105177862 "sc3" "85"
"41" "sc3.90" 18 35 7461 4880 0.339622641509434 0.604570132080058 "sc3" "90"
"42" "sc3.95" 18 34 7661 4680 0.346153846153846 0.620776274207925 "sc3" "95"
"43" "Seurat.00" 16 31 6152 6189 0.340425531914894 0.498500931853172 "Seurat" "00"
"44" "Seurat.05" 16 31 6152 6189 0.340425531914894 0.498500931853172 "Seurat" "05"
