"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "00"
"2" "Monocle.05" 10 41 3004 9337 0.196078431372549 0.243416254760554 "Monocle" "05"
"3" "Monocle.10" 10 41 3004 9337 0.196078431372549 0.243416254760554 "Monocle" "10"
"4" "Monocle.100" 18 13 8988 3353 0.580645161290323 0.728304027226319 "Monocle" "100"
"5" "Monocle.15" 10 40 3004 9337 0.2 0.243416254760554 "Monocle" "15"
"6" "Monocle.20" 10 39 3004 9337 0.204081632653061 0.243416254760554 "Monocle" "20"
"7" "Monocle.25" 12 35 3580 8761 0.25531914893617 0.29008994408881 "Monocle" "25"
"8" "Monocle.30" 12 34 3580 8761 0.260869565217391 0.29008994408881 "Monocle" "30"
"9" "Monocle.35" 12 34 3580 8761 0.260869565217391 0.29008994408881 "Monocle" "35"
"10" "Monocle.40" 14 31 4698 7643 0.311111111111111 0.380682278583583 "Monocle" "40"
"11" "Monocle.45" 14 30 4811 7530 0.318181818181818 0.389838748885828 "Monocle" "45"
"12" "Monocle.50" 14 28 5144 7197 0.333333333333333 0.416821975528725 "Monocle" "50"
"13" "Monocle.55" 14 27 5229 7112 0.341463414634146 0.423709585933069 "Monocle" "55"
"14" "Monocle.60" 16 24 5793 6548 0.4 0.469410906733652 "Monocle" "60"
"15" "Monocle.65" 18 21 7866 4475 0.461538461538462 0.637387569888988 "Monocle" "65"
"16" "Monocle.70" 18 20 8046 4295 0.473684210526316 0.651973097804068 "Monocle" "70"
"17" "Monocle.75" 18 18 8442 3899 0.5 0.684061259217243 "Monocle" "75"
"18" "Monocle.80" 18 18 8442 3899 0.5 0.684061259217243 "Monocle" "80"
"19" "Monocle.85" 18 17 8442 3899 0.514285714285714 0.684061259217243 "Monocle" "85"
"20" "Monocle.90" 16 18 7865 4476 0.470588235294118 0.637306539178349 "Monocle" "90"
"21" "Monocle.95" 16 18 7865 4476 0.470588235294118 0.637306539178349 "Monocle" "95"
"22" "sc3.00" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "00"
"23" "sc3.05" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "05"
"24" "sc3.10" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "10"
"25" "sc3.100" 18 12 9189 3152 0.6 0.744591200064825 "sc3" "100"
"26" "sc3.15" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "15"
"27" "sc3.20" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "20"
"28" "sc3.25" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "25"
"29" "sc3.30" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "30"
"30" "sc3.35" 16 40 5233 7108 0.285714285714286 0.424033708775626 "sc3" "35"
"31" "sc3.40" 16 39 5433 6908 0.290909090909091 0.440239850903492 "sc3" "40"
"32" "sc3.45" 16 39 5433 6908 0.290909090909091 0.440239850903492 "sc3" "45"
"33" "sc3.50" 16 39 5433 6908 0.290909090909091 0.440239850903492 "sc3" "50"
"34" "sc3.55" 16 39 5433 6908 0.290909090909091 0.440239850903492 "sc3" "55"
"35" "sc3.60" 16 38 5433 6908 0.296296296296296 0.440239850903492 "sc3" "60"
"36" "sc3.65" 18 35 7595 4746 0.339622641509434 0.615428247305729 "sc3" "65"
"37" "sc3.70" 18 34 7595 4746 0.346153846153846 0.615428247305729 "sc3" "70"
"38" "sc3.75" 18 34 7595 4746 0.346153846153846 0.615428247305729 "sc3" "75"
"39" "sc3.80" 18 32 7661 4680 0.36 0.620776274207925 "sc3" "80"
"40" "sc3.85" 16 32 7511 4830 0.333333333333333 0.608621667612025 "sc3" "85"
"41" "sc3.90" 18 28 8429 3912 0.391304347826087 0.683007859978932 "sc3" "90"
"42" "sc3.95" 20 21 9301 3040 0.48780487804878 0.75366663965643 "sc3" "95"
"43" "Seurat.00" 16 31 6152 6189 0.340425531914894 0.498500931853172 "Seurat" "00"
"44" "Seurat.05" 16 31 6152 6189 0.340425531914894 0.498500931853172 "Seurat" "05"
"45" "Seurat.10" 18 28 6938 5403 0.391304347826087 0.562191070415687 "Seurat" "10"
"46" "Seurat.100" 20 12 9226 3115 0.625 0.74758933635848 "Seurat" "100"
"47" "Seurat.15" 20 25 7774 4567 0.444444444444444 0.629932744510169 "Seurat" "15"
"48" "Seurat.20" 20 25 7774 4567 0.444444444444444 0.629932744510169 "Seurat" "20"
"49" "Seurat.25" 20 25 7774 4567 0.444444444444444 0.629932744510169 "Seurat" "25"
"50" "Seurat.30" 20 24 7986 4355 0.454545454545455 0.647111255165708 "Seurat" "30"
"51" "Seurat.35" 20 23 8053 4288 0.465116279069767 0.652540312778543 "Seurat" "35"
"52" "Seurat.40" 22 20 9062 3279 0.523809523809524 0.734300299813629 "Seurat" "40"
"53" "Seurat.45" 20 21 8333 4008 0.48780487804878 0.675228911757556 "Seurat" "45"
"54" "Seurat.50" 20 21 8333 4008 0.48780487804878 0.675228911757556 "Seurat" "50"
"55" "Seurat.55" 18 22 7946 4395 0.45 0.643870026740134 "Seurat" "55"
"56" "Seurat.60" 20 19 8574 3767 0.512820512820513 0.694757313021635 "Seurat" "60"
"57" "Seurat.65" 22 16 9244 3097 0.578947368421053 0.749047889149988 "Seurat" "65"
"58" "Seurat.70" 22 16 9244 3097 0.578947368421053 0.749047889149988 "Seurat" "70"
"59" "Seurat.75" 22 14 9267 3074 0.611111111111111 0.750911595494692 "Seurat" "75"
"60" "Seurat.80" 22 13 9267 3074 0.628571428571429 0.750911595494692 "Seurat" "80"
"61" "Seurat.85" 22 13 9267 3074 0.628571428571429 0.750911595494692 "Seurat" "85"
"62" "Seurat.90" 22 12 9319 3022 0.647058823529412 0.755125192447938 "Seurat" "90"
"63" "Seurat.95" 22 11 9455 2886 0.666666666666667 0.766145369094887 "Seurat" "95"
