"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 36 140 17916 111527 0.204545454545455 0.138408411424333 "Monocle" "k_10"
"2" "Monocle.k_100" 20 52 33027 96416 0.277777777777778 0.255147053143082 "Monocle" "k_100"
"3" "Monocle.k_15" 30 115 17052 112391 0.206896551724138 0.131733658830528 "Monocle" "k_15"
"4" "Monocle.k_20" 32 97 24875 104568 0.248062015503876 0.19216952635523 "Monocle" "k_20"
"5" "Monocle.k_25" 30 89 26579 102864 0.252100840336134 0.205333621748569 "Monocle" "k_25"
"6" "Monocle.k_30" 26 84 26794 102649 0.236363636363636 0.206994584488926 "Monocle" "k_30"
"7" "Monocle.k_35" 30 74 32067 97376 0.288461538461538 0.247730661372187 "Monocle" "k_35"
"8" "Monocle.k_40" 28 77 27150 102293 0.266666666666667 0.209744829770633 "Monocle" "k_40"
"9" "Monocle.k_45" 18 80 21198 108245 0.183673469387755 0.163763200791082 "Monocle" "k_45"
"10" "Monocle.k_50" 14 78 15861 113582 0.152173913043478 0.122532697789761 "Monocle" "k_50"
"11" "Monocle.k_55" 20 73 21698 107745 0.21505376344086 0.167625904838423 "Monocle" "k_55"
"12" "Monocle.k_60" 24 64 32578 96865 0.272727272727273 0.25167834490857 "Monocle" "k_60"
"13" "Monocle.k_65" 26 60 33727 95716 0.302325581395349 0.26055483880936 "Monocle" "k_65"
"14" "Monocle.k_70" 20 62 28718 100725 0.24390243902439 0.221858269663095 "Monocle" "k_70"
"15" "Monocle.k_75" 22 56 32336 97107 0.282051282051282 0.249808796149657 "Monocle" "k_75"
"16" "Monocle.k_80" 18 61 26901 102542 0.227848101265823 0.207821203155057 "Monocle" "k_80"
"17" "Monocle.k_85" 22 55 33289 96154 0.285714285714286 0.257171110063889 "Monocle" "k_85"
"18" "Monocle.k_90" 14 61 19939 109504 0.186666666666667 0.154036911999876 "Monocle" "k_90"
"19" "Monocle.k_95" 18 58 29843 99600 0.236842105263158 0.230549353769613 "Monocle" "k_95"
"20" "Seurat.0_3,100" 20 16 78455 50988 0.555555555555556 0.606096892068324 "Seurat" "0_3,100"
"21" "Seurat.0_3,30" 16 20 60998 68445 0.444444444444444 0.471234442959449 "Seurat" "0_3,30"
"22" "Seurat.0_3,50" 20 15 72859 56584 0.571428571428571 0.56286550837048 "Seurat" "0_3,50"
"23" "Seurat.0_4,100" 22 19 58859 70584 0.536585365853659 0.454709795044923 "Seurat" "0_4,100"
"24" "Seurat.0_4,30" 18 24 65041 64402 0.428571428571429 0.502468267886251 "Seurat" "0_4,30"
"25" "Seurat.0_4,50" 18 26 40859 88584 0.409090909090909 0.315652449340636 "Seurat" "0_4,50"
"26" "Seurat.0_5,100" 22 27 44549 84894 0.448979591836735 0.344159205210015 "Seurat" "0_5,100"
"27" "Seurat.0_5,30" 24 22 70310 59133 0.521739130434783 0.543173443137134 "Seurat" "0_5,30"
"28" "Seurat.0_5,50" 20 32 39866 89577 0.384615384615385 0.307981119102617 "Seurat" "0_5,50"
"29" "Seurat.0_6,100" 24 27 48098 81345 0.470588235294118 0.371576678538044 "Seurat" "0_6,100"
"30" "Seurat.0_6,30" 18 32 51487 77956 0.36 0.397758086570923 "Seurat" "0_6,30"
"31" "Seurat.0_6,50" 20 37 38675 90768 0.350877192982456 0.29878015806185 "Seurat" "0_6,50"
"32" "Seurat.0_7,100" 24 32 55967 73476 0.428571428571429 0.432367914835101 "Seurat" "0_7,100"
"33" "Seurat.0_7,30" 22 36 58382 71061 0.379310344827586 0.45102477538376 "Seurat" "0_7,30"
"34" "Seurat.0_7,50" 18 41 35424 94019 0.305084745762712 0.273664856346036 "Seurat" "0_7,50"
"35" "Seurat.0_8,100" 26 33 51817 77626 0.440677966101695 0.400307471242168 "Seurat" "0_8,100"
"36" "Seurat.0_8,30" 16 43 38849 90594 0.271186440677966 0.300124379070324 "Seurat" "0_8,30"
"37" "Seurat.0_8,50" 18 44 33206 96237 0.290322580645161 0.25652990119203 "Seurat" "0_8,50"
"38" "Seurat.0_9,100" 24 39 46571 82872 0.380952380952381 0.359779980377463 "Seurat" "0_9,100"
"39" "Seurat.0_9,30" 20 43 43758 85685 0.317460317460317 0.338048407407121 "Seurat" "0_9,30"
"40" "Seurat.0_9,50" 18 47 31459 97984 0.276923076923077 0.24303361325062 "Seurat" "0_9,50"
"41" "Seurat.1_1,100" 32 34 60823 68620 0.484848484848485 0.46988249654288 "Seurat" "1_1,100"
