"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 69 243 34394 179643 0.221153846153846 0.160691842999108 "Monocle" "k_10"
"2" "Monocle.k_100" 51 71 65825 148212 0.418032786885246 0.307540285090895 "Monocle" "k_100"
"3" "Monocle.k_15" 59 191 35215 178822 0.236 0.164527628400697 "Monocle" "k_15"
"4" "Monocle.k_20" 56 166 41157 172880 0.252252252252252 0.192289183645818 "Monocle" "k_20"
"5" "Monocle.k_25" 65 140 52033 162004 0.317073170731707 0.243102828015717 "Monocle" "k_25"
"6" "Monocle.k_30" 63 123 53404 160633 0.338709677419355 0.249508262590113 "Monocle" "k_30"
"7" "Monocle.k_35" 62 115 57905 156132 0.350282485875706 0.270537337002481 "Monocle" "k_35"
"8" "Monocle.k_40" 61 113 55009 159028 0.350574712643678 0.257006966085303 "Monocle" "k_40"
"9" "Monocle.k_45" 59 102 61534 152503 0.366459627329193 0.287492349453599 "Monocle" "k_45"
"10" "Monocle.k_50" 49 105 48183 165854 0.318181818181818 0.225115283806071 "Monocle" "k_50"
"11" "Monocle.k_55" 53 103 50120 163917 0.33974358974359 0.234165120983755 "Monocle" "k_55"
"12" "Monocle.k_60" 60 86 69953 144084 0.410958904109589 0.32682667015516 "Monocle" "k_60"
"13" "Monocle.k_65" 60 81 68907 145130 0.425531914893617 0.321939664637423 "Monocle" "k_65"
"14" "Monocle.k_70" 50 87 62929 151108 0.364963503649635 0.294009914173718 "Monocle" "k_70"
"15" "Monocle.k_75" 57 74 69593 144444 0.435114503816794 0.325144717969323 "Monocle" "k_75"
"16" "Monocle.k_80" 54 76 67955 146082 0.415384615384615 0.317491835523765 "Monocle" "k_80"
"17" "Monocle.k_85" 58 72 70669 143368 0.446153846153846 0.330171886169214 "Monocle" "k_85"
"18" "Monocle.k_90" 50 75 62645 151392 0.4 0.292683040782668 "Monocle" "k_90"
