"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 6 79 972 11369 0.0705882352941176 0.078761850741431 "Monocle" "00"
"2" "Monocle.05" 6 74 972 11369 0.075 0.078761850741431 "Monocle" "05"
"3" "Monocle.1" 8 64 1709 10632 0.111111111111111 0.138481484482619 "Monocle" "1"
"4" "Monocle.15" 12 45 3885 8456 0.210526315789474 0.314804310833806 "Monocle" "15"
"5" "Monocle.2" 18 21 5770 6571 0.461538461538462 0.467547200388947 "Monocle" "2"
"6" "Monocle.25" 14 20 6187 6154 0.411764705882353 0.501337006725549 "Monocle" "25"
"7" "Monocle.3" 10 19 5045 7296 0.344827586206897 0.408799935175432 "Monocle" "3"
"8" "Monocle.35" 10 19 5045 7296 0.344827586206897 0.408799935175432 "Monocle" "35"
"9" "Monocle.4" 8 13 6586 5755 0.380952380952381 0.533668260270643 "Monocle" "4"
"10" "Monocle.45" 4 10 5857 6484 0.285714285714286 0.474596872214569 "Monocle" "45"
"11" "Monocle.5" 4 7 6180 6161 0.363636363636364 0.500769791751074 "Monocle" "5"
"12" "Monocle.55" 2 7 3226 9115 0.222222222222222 0.261405072522486 "Monocle" "55"
"13" "Monocle.6" 2 6 3226 9115 0.25 0.261405072522486 "Monocle" "6"
"14" "sc3.00" 14 73 3148 9193 0.160919540229885 0.255084677092618 "sc3" "00"
"15" "sc3.05" 14 53 2822 9519 0.208955223880597 0.228668665424196 "sc3" "05"
"16" "sc3.1" 12 40 2314 10027 0.230769230769231 0.187505064419415 "sc3" "1"
"17" "sc3.15" 8 34 2268 10073 0.19047619047619 0.183777651730006 "sc3" "15"
"18" "sc3.2" 12 22 6440 5901 0.352941176470588 0.5218377765173 "sc3" "2"
"19" "sc3.25" 6 21 4717 7624 0.222222222222222 0.382221862085731 "sc3" "25"
"20" "sc3.3" 2 18 3149 9192 0.1 0.255165707803257 "sc3" "3"
"21" "sc3.35" 2 18 3149 9192 0.1 0.255165707803257 "sc3" "35"
"22" "sc3.4" 2 11 3149 9192 0.153846153846154 0.255165707803257 "sc3" "4"
"23" "sc3.45" 2 9 3149 9192 0.181818181818182 0.255165707803257 "sc3" "45"
"24" "sc3.5" 4 5 10851 1490 0.444444444444444 0.879264241147395 "sc3" "5"
"25" "Seurat.00" 16 37 4075 8266 0.30188679245283 0.330200145855279 "Seurat" "00"
"26" "Seurat.05" 16 35 4075 8266 0.313725490196078 0.330200145855279 "Seurat" "05"
"27" "Seurat.1" 16 31 4075 8266 0.340425531914894 0.330200145855279 "Seurat" "1"
"28" "Seurat.15" 20 22 6549 5792 0.476190476190476 0.530670123976987 "Seurat" "15"
"29" "Seurat.2" 20 22 6549 5792 0.476190476190476 0.530670123976987 "Seurat" "2"
"30" "Seurat.25" 14 22 4695 7646 0.388888888888889 0.380439186451665 "Seurat" "25"
"31" "Seurat.3" 14 18 5946 6395 0.4375 0.48180860546147 "Seurat" "3"
"32" "Seurat.35" 14 16 6654 5687 0.466666666666667 0.539178348594117 "Seurat" "35"
"33" "Seurat.4" 2 23 235 12106 0.08 0.0190422170002431 "Seurat" "4"
"34" "Seurat.45" 4 18 1275 11066 0.181818181818182 0.103314156065149 "Seurat" "45"
"35" "Seurat.5" 2 16 235 12106 0.111111111111111 0.0190422170002431 "Seurat" "5"
"36" "Seurat.55" 2 12 95 12246 0.142857142857143 0.00769791751073657 "Seurat" "55"
"37" "Seurat.6" 0 11 0 12341 0 0 "Seurat" "6"
