"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle_10" 2 18 0 0 0.1 NA "Monocle_10" NA
"2" "Monocle_11" 2 20 0 0 0.0909090909090909 NA "Monocle_11" NA
"3" "Monocle_12" 2 22 0 0 0.0833333333333333 NA "Monocle_12" NA
"4" "Monocle_13" 2 24 0 0 0.0769230769230769 NA "Monocle_13" NA
"5" "Monocle_14" 4 24 0 0 0.142857142857143 NA "Monocle_14" NA
"6" "Monocle_15" 10 20 0 0 0.333333333333333 NA "Monocle_15" NA
"7" "Monocle_16" 6 26 0 0 0.1875 NA "Monocle_16" NA
"8" "Monocle_17" 8 26 0 0 0.235294117647059 NA "Monocle_17" NA
"9" "Monocle_18" 8 28 0 0 0.222222222222222 NA "Monocle_18" NA
"10" "Monocle_19" 6 32 0 0 0.157894736842105 NA "Monocle_19" NA
"11" "Monocle_20" 8 32 0 0 0.2 NA "Monocle_20" NA
"12" "Monocle_21" 8 34 0 0 0.19047619047619 NA "Monocle_21" NA
"13" "Monocle_22" 14 30 0 0 0.318181818181818 NA "Monocle_22" NA
"14" "Monocle_23" 16 30 0 0 0.347826086956522 NA "Monocle_23" NA
"15" "Monocle_24" 16 32 0 0 0.333333333333333 NA "Monocle_24" NA
"16" "Monocle_25" 16 34 0 0 0.32 NA "Monocle_25" NA
"17" "Monocle_26" 16 36 0 0 0.307692307692308 NA "Monocle_26" NA
"18" "Monocle_27" 16 38 0 0 0.296296296296296 NA "Monocle_27" NA
"19" "Monocle_28" 16 40 0 0 0.285714285714286 NA "Monocle_28" NA
"20" "Monocle_29" 14 44 0 0 0.241379310344828 NA "Monocle_29" NA
"21" "Monocle_30" 10 50 0 0 0.166666666666667 NA "Monocle_30" NA
"22" "Monocle_31" 8 54 0 0 0.129032258064516 NA "Monocle_31" NA
"23" "Monocle_32" 8 56 0 0 0.125 NA "Monocle_32" NA
"24" "Monocle_33" 10 56 0 0 0.151515151515152 NA "Monocle_33" NA
"25" "Monocle_34" 12 56 0 0 0.176470588235294 NA "Monocle_34" NA
"26" "Monocle_35" 10 60 0 0 0.142857142857143 NA "Monocle_35" NA
"27" "Monocle_36" 12 60 0 0 0.166666666666667 NA "Monocle_36" NA
"28" "Monocle_37" 10 64 0 0 0.135135135135135 NA "Monocle_37" NA
"29" "Monocle_38" 8 68 0 0 0.105263157894737 NA "Monocle_38" NA
"30" "Monocle_39" 6 72 0 0 0.0769230769230769 NA "Monocle_39" NA
"31" "Monocle_40" 8 72 0 0 0.1 NA "Monocle_40" NA
"32" "Monocle.00" 6 79 972 11369 0.0705882352941176 0.078761850741431 "Monocle" "00"
"33" "Monocle.05" 6 74 972 11369 0.075 0.078761850741431 "Monocle" "05"
"34" "Monocle.1" 8 64 1709 10632 0.111111111111111 0.138481484482619 "Monocle" "1"
"35" "Monocle.15" 12 45 3885 8456 0.210526315789474 0.314804310833806 "Monocle" "15"
"36" "Monocle.2" 18 21 5770 6571 0.461538461538462 0.467547200388947 "Monocle" "2"
"37" "Monocle.25" 14 20 6187 6154 0.411764705882353 0.501337006725549 "Monocle" "25"
"38" "Monocle.3" 10 19 5045 7296 0.344827586206897 0.408799935175432 "Monocle" "3"
"39" "Monocle.35" 10 19 5045 7296 0.344827586206897 0.408799935175432 "Monocle" "35"
"40" "Monocle.4" 8 13 6586 5755 0.380952380952381 0.533668260270643 "Monocle" "4"
"41" "Monocle.45" 4 10 5857 6484 0.285714285714286 0.474596872214569 "Monocle" "45"
"42" "Monocle.5" 4 7 6180 6161 0.363636363636364 0.500769791751074 "Monocle" "5"
"43" "Monocle.55" 2 7 3226 9115 0.222222222222222 0.261405072522486 "Monocle" "55"
"44" "Monocle.6" 2 6 3226 9115 0.25 0.261405072522486 "Monocle" "6"
"45" "sc3_10" 0 20 0 0 0 NA "sc3_10" NA
"46" "sc3_11" 0 22 0 0 0 NA "sc3_11" NA
"47" "sc3_12" 2 22 0 0 0.0833333333333333 NA "sc3_12" NA
"48" "sc3_13" 2 24 0 0 0.0769230769230769 NA "sc3_13" NA
"49" "sc3_14" 4 24 0 0 0.142857142857143 NA "sc3_14" NA
"50" "sc3_15" 4 26 0 0 0.133333333333333 NA "sc3_15" NA
"51" "sc3_16" 4 28 0 0 0.125 NA "sc3_16" NA
"52" "sc3_17" 6 28 0 0 0.176470588235294 NA "sc3_17" NA
"53" "sc3_18" 10 26 0 0 0.277777777777778 NA "sc3_18" NA
"54" "sc3_19" 14 24 0 0 0.368421052631579 NA "sc3_19" NA
"55" "sc3_20" 14 26 0 0 0.35 NA "sc3_20" NA
"56" "sc3_21" 16 26 0 0 0.380952380952381 NA "sc3_21" NA
"57" "sc3_22" 16 28 0 0 0.363636363636364 NA "sc3_22" NA
"58" "sc3_23" 18 28 0 0 0.391304347826087 NA "sc3_23" NA
"59" "sc3_24" 20 28 0 0 0.416666666666667 NA "sc3_24" NA
"60" "sc3_25" 20 30 0 0 0.4 NA "sc3_25" NA
"61" "sc3_26" 20 32 0 0 0.384615384615385 NA "sc3_26" NA
"62" "sc3_27" 18 36 0 0 0.333333333333333 NA "sc3_27" NA
"63" "sc3_28" 14 42 0 0 0.25 NA "sc3_28" NA
"64" "sc3_29" 14 44 0 0 0.241379310344828 NA "sc3_29" NA
"65" "sc3_30" 14 46 0 0 0.233333333333333 NA "sc3_30" NA
