"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "00"
"2" "Monocle.05" 12 40 3323 9018 0.230769230769231 0.269265051454501 "Monocle" "05"
"3" "Monocle.1" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "1"
"4" "Monocle.15" 12 35 4093 8248 0.25531914893617 0.331658698646787 "Monocle" "15"
"5" "Monocle.2" 14 21 4450 7891 0.4 0.360586662345029 "Monocle" "2"
"6" "Monocle.25" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "25"
"7" "Monocle.3" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "3"
"8" "Monocle.35" 6 20 2626 9715 0.230769230769231 0.212786646138887 "Monocle" "35"
"9" "Monocle.4" 2 21 1274 11067 0.0869565217391304 0.103233125354509 "Monocle" "4"
"10" "Monocle.45" 6 9 4251 8090 0.4 0.344461550927802 "Monocle" "45"
"11" "Monocle.5" 2 8 3163 9178 0.2 0.256300137752208 "Monocle" "5"
"12" "Monocle.55" 4 4 9797 2544 0.5 0.793857872133539 "Monocle" "55"
"13" "sc3.00" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "00"
"14" "sc3.05" 16 33 5307 7034 0.326530612244898 0.430029981362937 "sc3" "05"
"15" "sc3.1" 18 20 7393 4948 0.473684210526316 0.599060043756584 "sc3" "1"
"16" "sc3.15" 16 17 7140 5201 0.484848484848485 0.578559273964833 "sc3" "15"
"17" "sc3.2" 16 13 6730 5611 0.551724137931034 0.545336682602706 "sc3" "2"
"18" "sc3.25" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "25"
"19" "sc3.3" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "3"
"20" "sc3.35" 6 18 2261 10080 0.25 0.18321043675553 "sc3" "35"
"21" "sc3.4" 6 17 2261 10080 0.260869565217391 0.18321043675553 "sc3" "4"
"22" "sc3.45" 6 11 2600 9741 0.352941176470588 0.210679847662264 "sc3" "45"
"23" "sc3.5" 2 6 8085 4256 0.25 0.655133295519002 "sc3" "5"
"24" "Seurat.00" 16 31 6152 6189 0.340425531914894 0.498500931853172 "Seurat" "00"
"25" "Seurat.05" 18 28 6734 5607 0.391304347826087 0.545660805445264 "Seurat" "05"
"26" "Seurat.1" 20 24 7341 5000 0.454545454545455 0.594846446803338 "Seurat" "1"
"27" "Seurat.15" 22 20 8171 4170 0.523809523809524 0.662101936633984 "Seurat" "15"
"28" "Seurat.2" 20 21 8035 4306 0.48780487804878 0.651081759987035 "Seurat" "2"
"29" "Seurat.25" 14 19 5600 6741 0.424242424242424 0.453771979580261 "Seurat" "25"
"30" "Seurat.3" 10 20 5304 7037 0.333333333333333 0.429786889231019 "Seurat" "3"
"31" "Seurat.35" 10 20 5304 7037 0.333333333333333 0.429786889231019 "Seurat" "35"
"32" "Seurat.4" 8 16 4084 8257 0.333333333333333 0.330929422251033 "Seurat" "4"
"33" "Seurat.45" 6 14 5867 6474 0.3 0.475407179320963 "Seurat" "45"
"34" "Seurat.5" 6 8 7390 4951 0.428571428571429 0.598816951624666 "Seurat" "5"
"35" "Seurat.55" 4 6 3332 9009 0.4 0.269994327850255 "Seurat" "55"
