"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "00"
"2" "Monocle.01" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "01"
"3" "Monocle.02" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "02"
"4" "Monocle.03" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "03"
"5" "Monocle.04" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "04"
"6" "Monocle.05" 12 40 3323 9018 0.230769230769231 0.269265051454501 "Monocle" "05"
"7" "Monocle.06" 12 40 3323 9018 0.230769230769231 0.269265051454501 "Monocle" "06"
"8" "Monocle.07" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "07"
"9" "Monocle.08" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "08"
"10" "Monocle.09" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "09"
"11" "Monocle.1" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "1"
"12" "Monocle.11" 12 39 3656 8685 0.235294117647059 0.296248278097399 "Monocle" "11"
"13" "Monocle.12" 12 37 3913 8428 0.244897959183673 0.317073170731707 "Monocle" "12"
"14" "Monocle.13" 12 37 3913 8428 0.244897959183673 0.317073170731707 "Monocle" "13"
"15" "Monocle.14" 12 36 3913 8428 0.25 0.317073170731707 "Monocle" "14"
"16" "Monocle.15" 12 35 4093 8248 0.25531914893617 0.331658698646787 "Monocle" "15"
"17" "Monocle.16" 10 32 4605 7736 0.238095238095238 0.373146422494125 "Monocle" "16"
"18" "Monocle.17" 10 31 4605 7736 0.24390243902439 0.373146422494125 "Monocle" "17"
"19" "Monocle.18" 10 30 4605 7736 0.25 0.373146422494125 "Monocle" "18"
"20" "Monocle.19" 16 20 6608 5733 0.444444444444444 0.535450935904708 "Monocle" "19"
"21" "Monocle.2" 14 21 4450 7891 0.4 0.360586662345029 "Monocle" "2"
"22" "Monocle.21" 14 21 4450 7891 0.4 0.360586662345029 "Monocle" "21"
"23" "Monocle.22" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "22"
"24" "Monocle.23" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "23"
"25" "Monocle.24" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "24"
"26" "Monocle.25" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "25"
"27" "Monocle.26" 12 22 3666 8675 0.352941176470588 0.297058585203792 "Monocle" "26"
"28" "Monocle.27" 12 21 4074 8267 0.363636363636364 0.33011911514464 "Monocle" "27"
"29" "Monocle.28" 10 21 2876 9465 0.32258064516129 0.23304432379872 "Monocle" "28"
"30" "Monocle.29" 6 23 1784 10557 0.206896551724138 0.144558787780569 "Monocle" "29"
"31" "Monocle.3" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "3"
"32" "Monocle.31" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "31"
"33" "Monocle.32" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "32"
"34" "Monocle.33" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "33"
"35" "Monocle.34" 4 24 1600 10741 0.142857142857143 0.129649137022932 "Monocle" "34"
"36" "Monocle.35" 6 20 2626 9715 0.230769230769231 0.212786646138887 "Monocle" "35"
"37" "Monocle.36" 6 20 2626 9715 0.230769230769231 0.212786646138887 "Monocle" "36"
"38" "Monocle.37" 6 20 2626 9715 0.230769230769231 0.212786646138887 "Monocle" "37"
"39" "Monocle.38" 6 20 2626 9715 0.230769230769231 0.212786646138887 "Monocle" "38"
"40" "Monocle.39" 4 21 2300 10041 0.16 0.186370634470464 "Monocle" "39"
"41" "Monocle.4" 2 21 1274 11067 0.0869565217391304 0.103233125354509 "Monocle" "4"
"42" "Monocle.41" 2 21 1274 11067 0.0869565217391304 0.103233125354509 "Monocle" "41"
"43" "Monocle.42" 8 11 7896 4445 0.421052631578947 0.639818491208168 "Monocle" "42"
"44" "Monocle.43" 8 11 7896 4445 0.421052631578947 0.639818491208168 "Monocle" "43"
"45" "Monocle.44" 8 11 7896 4445 0.421052631578947 0.639818491208168 "Monocle" "44"
"46" "Monocle.45" 6 9 4251 8090 0.4 0.344461550927802 "Monocle" "45"
"47" "Monocle.46" 4 8 6123 6218 0.333333333333333 0.496151041244632 "Monocle" "46"
"48" "Monocle.47" 4 7 6123 6218 0.363636363636364 0.496151041244632 "Monocle" "47"
"49" "Monocle.48" 4 7 6123 6218 0.363636363636364 0.496151041244632 "Monocle" "48"
"50" "Monocle.49" 4 7 6123 6218 0.363636363636364 0.496151041244632 "Monocle" "49"
"51" "Monocle.5" 2 8 3163 9178 0.2 0.256300137752208 "Monocle" "5"
"52" "sc3.00" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "00"
"53" "sc3.01" 18 39 5820 6521 0.315789473684211 0.471598735920914 "sc3" "01"
"54" "sc3.02" 18 37 5820 6521 0.327272727272727 0.471598735920914 "sc3" "02"
"55" "sc3.03" 18 36 5831 6510 0.333333333333333 0.472490073737947 "sc3" "03"
"56" "sc3.04" 18 32 5873 6468 0.36 0.475893363584799 "sc3" "04"
"57" "sc3.05" 16 33 5307 7034 0.326530612244898 0.430029981362937 "sc3" "05"
"58" "sc3.06" 20 25 8276 4065 0.444444444444444 0.670610161251114 "sc3" "06"
"59" "sc3.07" 20 24 8276 4065 0.454545454545455 0.670610161251114 "sc3" "07"
"60" "sc3.08" 20 22 8290 4051 0.476190476190476 0.671744591200065 "sc3" "08"
"61" "sc3.09" 18 21 7393 4948 0.461538461538462 0.599060043756584 "sc3" "09"
"62" "sc3.1" 18 20 7393 4948 0.473684210526316 0.599060043756584 "sc3" "1"
"63" "sc3.11" 18 19 7574 4767 0.486486486486487 0.613726602382303 "sc3" "11"
"64" "sc3.12" 18 19 7574 4767 0.486486486486487 0.613726602382303 "sc3" "12"
"65" "sc3.13" 18 18 7574 4767 0.5 0.613726602382303 "sc3" "13"
"66" "sc3.14" 16 18 7140 5201 0.470588235294118 0.578559273964833 "sc3" "14"
"67" "sc3.15" 16 17 7140 5201 0.484848484848485 0.578559273964833 "sc3" "15"
"68" "sc3.16" 16 17 7140 5201 0.484848484848485 0.578559273964833 "sc3" "16"
"69" "sc3.17" 18 14 7549 4792 0.5625 0.61170083461632 "sc3" "17"
"70" "sc3.18" 14 16 5837 6504 0.466666666666667 0.472976258001783 "sc3" "18"
"71" "sc3.19" 16 13 6730 5611 0.551724137931034 0.545336682602706 "sc3" "19"
"72" "sc3.2" 16 13 6730 5611 0.551724137931034 0.545336682602706 "sc3" "2"
"73" "sc3.21" 16 13 6730 5611 0.551724137931034 0.545336682602706 "sc3" "21"
"74" "sc3.22" 16 13 6730 5611 0.551724137931034 0.545336682602706 "sc3" "22"
"75" "sc3.23" 12 15 6122 6219 0.444444444444444 0.496070010533992 "sc3" "23"
"76" "sc3.24" 12 15 6122 6219 0.444444444444444 0.496070010533992 "sc3" "24"
"77" "sc3.25" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "25"
"78" "sc3.26" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "26"
"79" "sc3.27" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "27"
"80" "sc3.28" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "28"
"81" "sc3.29" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "29"
"82" "sc3.3" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "3"
"83" "sc3.31" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "31"
"84" "sc3.32" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "32"
"85" "sc3.33" 10 16 5633 6708 0.384615384615385 0.456445993031359 "sc3" "33"
"86" "sc3.34" 6 18 2261 10080 0.25 0.18321043675553 "sc3" "34"
"87" "sc3.35" 6 18 2261 10080 0.25 0.18321043675553 "sc3" "35"
"88" "sc3.36" 6 18 2261 10080 0.25 0.18321043675553 "sc3" "36"
"89" "sc3.37" 6 17 2261 10080 0.260869565217391 0.18321043675553 "sc3" "37"
"90" "sc3.38" 6 17 2261 10080 0.260869565217391 0.18321043675553 "sc3" "38"
"91" "sc3.39" 6 17 2261 10080 0.260869565217391 0.18321043675553 "sc3" "39"
"92" "sc3.4" 6 17 2261 10080 0.260869565217391 0.18321043675553 "sc3" "4"
