"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle_10" 6 14 1784 10557 0.3 0.144558787780569 "Monocle_10" NA
"2" "Monocle_11" 12 10 8297 4044 0.545454545454545 0.67231180617454 "Monocle_11" NA
"3" "Monocle_12" 12 12 7823 4518 0.5 0.633903249331497 "Monocle_12" NA
"4" "Monocle_13" 10 16 7497 4844 0.384615384615385 0.607487237663074 "Monocle_13" NA
"5" "Monocle_14" 12 16 7513 4828 0.428571428571429 0.608783729033304 "Monocle_14" NA
"6" "Monocle_15" 10 20 5217 7124 0.333333333333333 0.422737217405397 "Monocle_15" NA
"7" "Monocle_16" 10 22 5217 7124 0.3125 0.422737217405397 "Monocle_16" NA
"8" "Monocle_17" 8 26 4406 7935 0.235294117647059 0.357021311076898 "Monocle_17" NA
"9" "Monocle_18" 8 28 4321 8020 0.222222222222222 0.350133700672555 "Monocle_18" NA
"10" "Monocle_19" 10 28 4749 7592 0.263157894736842 0.384814844826189 "Monocle_19" NA
"11" "Monocle_20" 10 30 4749 7592 0.25 0.384814844826189 "Monocle_20" NA
"12" "Monocle_21" 8 34 3909 8432 0.19047619047619 0.31674904788915 "Monocle_21" NA
"13" "Monocle_22" 6 38 2463 9878 0.136363636363636 0.199578640304675 "Monocle_22" NA
"14" "Monocle_23" 10 36 3629 8712 0.217391304347826 0.294060448910137 "Monocle_23" NA
"15" "sc3_10" 2 18 844 11497 0.1 0.0683899197795965 "sc3_10" NA
"16" "sc3_11" 4 18 875 11466 0.181818181818182 0.0709018718094158 "sc3_11" NA
"17" "sc3_12" 4 20 875 11466 0.166666666666667 0.0709018718094158 "sc3_12" NA
"18" "sc3_13" 6 20 3395 8946 0.230769230769231 0.275099262620533 "sc3_13" NA
"19" "sc3_14" 8 20 5630 6711 0.285714285714286 0.456202900899441 "sc3_14" NA
"20" "sc3_15" 8 22 5630 6711 0.266666666666667 0.456202900899441 "sc3_15" NA
"21" "sc3_16" 12 20 7013 5328 0.375 0.568268373713637 "sc3_16" NA
"22" "sc3_17" 14 20 5819 6522 0.411764705882353 0.471517705210275 "sc3_17" NA
"23" "sc3_18" 18 18 8287 4054 0.5 0.671501499068147 "sc3_18" NA
"24" "sc3_19" 18 20 8078 4263 0.473684210526316 0.654566080544526 "sc3_19" NA
"25" "sc3_20" 18 22 8037 4304 0.45 0.651243821408314 "sc3_20" NA
"26" "sc3_21" 18 24 7650 4691 0.428571428571429 0.619884936390892 "sc3_21" NA
"27" "sc3_22" 14 30 6116 6225 0.318181818181818 0.495583826270156 "sc3_22" NA
"28" "sc3_23" 14 32 6095 6246 0.304347826086957 0.49388218134673 "sc3_23" NA
"29" "sc3_24" 14 34 6060 6281 0.291666666666667 0.491046106474354 "sc3_24" NA
"30" "sc3_25" 16 34 7353 4988 0.32 0.59581881533101 "sc3_25" NA
"31" "sc3_26" 18 34 7787 4554 0.346153846153846 0.630986143748481 "sc3_26" NA
"32" "sc3_27" 16 38 6671 5670 0.296296296296296 0.540555870674986 "sc3_27" NA
"33" "Seurat_10" 10 10 6049 6292 0.5 0.490154768657321 "Seurat_10" NA
"34" "Seurat_11" 10 12 4257 8084 0.454545454545455 0.344947735191638 "Seurat_11" NA
"35" "Seurat_12" 10 14 4025 8316 0.416666666666667 0.326148610323313 "Seurat_12" NA
"36" "Seurat_13" 16 10 8405 3936 0.615384615384615 0.681063122923588 "Seurat_13" NA
"37" "Seurat_14" 14 14 5050 7291 0.5 0.409205088728628 "Seurat_14" NA
"38" "Seurat_15" 14 16 4779 7562 0.466666666666667 0.387245766145369 "Seurat_15" NA
"39" "Seurat_16" 20 12 8387 3954 0.625 0.67960457013208 "Seurat_16" NA
"40" "Seurat_17" 22 12 8387 3954 0.647058823529412 0.67960457013208 "Seurat_17" NA
