"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 10 94 970 11489 0.0961538461538462 0.0778553655991653 "Monocle" "k_10"
"2" "Monocle.k_100" 16 18 6156 6303 0.470588235294118 0.494100650132434 "Monocle" "k_100"
"3" "Monocle.k_15" 6 79 979 11480 0.0705882352941176 0.0785777349707039 "Monocle" "k_15"
"4" "Monocle.k_20" 12 67 2526 9933 0.151898734177215 0.202745003611847 "Monocle" "k_20"
"5" "Monocle.k_25" 12 58 2999 9460 0.171428571428571 0.240709527249378 "Monocle" "k_25"
"6" "Monocle.k_30" 16 47 3433 9026 0.253968253968254 0.275543783610242 "Monocle" "k_30"
"7" "Monocle.k_35" 14 48 3393 9066 0.225806451612903 0.27233325307007 "Monocle" "k_35"
"8" "Monocle.k_40" 12 48 2983 9476 0.2 0.239425315033309 "Monocle" "k_40"
"9" "Monocle.k_45" 10 43 3033 9426 0.188679245283019 0.243438478208524 "Monocle" "k_45"
"10" "Monocle.k_50" 10 40 2912 9547 0.2 0.233726623324504 "Monocle" "k_50"
"11" "Monocle.k_55" 10 40 2962 9497 0.2 0.237739786499719 "Monocle" "k_55"
"12" "Monocle.k_60" 12 33 3500 8959 0.266666666666667 0.280921422265029 "Monocle" "k_60"
"13" "Monocle.k_65" 14 31 4323 8136 0.311111111111111 0.346978088129063 "Monocle" "k_65"
"14" "Monocle.k_70" 10 32 2868 9591 0.238095238095238 0.230195039730315 "Monocle" "k_70"
"15" "Monocle.k_75" 14 25 5363 7096 0.358974358974359 0.430451882173529 "Monocle" "k_75"
"16" "Monocle.k_80" 18 22 6395 6064 0.45 0.513283570109961 "Monocle" "k_80"
"17" "Monocle.k_85" 18 19 6759 5700 0.486486486486487 0.542499398025524 "Monocle" "k_85"
"18" "Monocle.k_90" 16 19 6134 6325 0.457142857142857 0.49233485833534 "Monocle" "k_90"
"19" "Monocle.k_95" 16 19 5935 6524 0.457142857142857 0.476362468897985 "Monocle" "k_95"
"20" "SC3.-1" 14 41 4508 7951 0.254545454545455 0.361826791877358 "SC3" "-1"
"21" "SC3.-10" 16 21 6264 6195 0.432432432432432 0.502769082590898 "SC3" "-10"
"22" "SC3.-11" 14 21 6234 6225 0.4 0.500361184685769 "SC3" "-11"
"23" "SC3.-12" 20 13 7711 4748 0.606060606060606 0.618910024881612 "SC3" "-12"
"24" "SC3.-13" 18 13 9082 3377 0.580645161290323 0.728950959145999 "SC3" "-13"
"25" "SC3.-14" 20 9 11408 1051 0.689655172413793 0.915643310056987 "SC3" "-14"
"26" "SC3.-15" 20 7 9840 2619 0.740740740740741 0.789790512882254 "SC3" "-15"
"27" "SC3.-16" 14 11 7803 4656 0.56 0.626294245124007 "SC3" "-16"
"28" "SC3.-17" 16 7 9485 2974 0.695652173913043 0.761297054338229 "SC3" "-17"
"29" "SC3.-18" 10 11 6493 5966 0.476190476190476 0.521149369933381 "SC3" "-18"
"30" "SC3.-19" 12 7 8086 4373 0.631578947368421 0.649008748695722 "SC3" "-19"
"31" "SC3.-2" 18 35 5213 7246 0.339622641509434 0.418412392647885 "SC3" "-2"
"32" "SC3.-20" 10 7 8353 4106 0.588235294117647 0.670439040051368 "SC3" "-20"
"33" "SC3.-21" 8 7 7282 5177 0.533333333333333 0.58447708483827 "SC3" "-21"
"34" "SC3.-22" 6 7 6542 5917 0.461538461538462 0.525082269845092 "SC3" "-22"
"35" "SC3.-23" 8 3 10924 1535 0.727272727272727 0.876795890520909 "SC3" "-23"
"36" "SC3.-24" 2 7 1355 11104 0.222222222222222 0.108756722048318 "SC3" "-24"
"37" "SC3.-25" 0 7 0 12459 0 0 "SC3" "-25"
"38" "SC3.-3" 14 37 3885 8574 0.274509803921569 0.311822778714183 "SC3" "-3"
"39" "SC3.-4" 16 33 5270 7189 0.326530612244898 0.42298739866763 "SC3" "-4"
"40" "SC3.-5" 16 31 5164 7295 0.340425531914894 0.414479492736175 "SC3" "-5"
