"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Consensus.33" 16 74 31796 129592 0.177777777777778 0.197015887178725 "Consensus" "33"
"2" "Consensus.66" 16 76 31681 134913 0.173913043478261 0.19016891364635 "Consensus" "66"
"3" "Consensus.90" 14 69 22559 152040 0.168674698795181 0.1292046346199 "Consensus" "90"
"4" "Consensus.Final" 18 39 57986 127768 0.315789473684211 0.312165552289587 "Consensus" "Final"
"5" "Consensus.Initial" 22 84 36834 121620 0.207547169811321 0.232458631527131 "Consensus" "Initial"
"6" "Monocle.33" 18 175 15986 185592 0.0932642487046632 0.0793042891585391 "Monocle" "33"
"7" "Monocle.66" 16 146 14461 187117 0.0987654320987654 0.0717389794521228 "Monocle" "66"
"8" "Monocle.90" 14 105 11934 189644 0.117647058823529 0.059202889204179 "Monocle" "90"
"9" "Monocle.Final" 24 30 102582 98996 0.444444444444444 0.508894819871216 "Monocle" "Final"
"10" "Monocle.Initial" 16 197 14651 186927 0.0751173708920188 0.0726815426286599 "Monocle" "Initial"
"11" "sc3.33" 14 169 12571 189007 0.0765027322404372 0.0623629562749903 "sc3" "33"
"12" "sc3.66" 14 162 12571 189007 0.0795454545454545 0.0623629562749903 "sc3" "66"
"13" "sc3.90" 14 140 12571 189007 0.0909090909090909 0.0623629562749903 "sc3" "90"
"14" "sc3.Final" 22 40 82772 118806 0.354838709677419 0.410620206570161 "sc3" "Final"
"15" "sc3.Initial" 16 184 14366 187212 0.08 0.0712676978638542 "sc3" "Initial"
"16" "Seurat.33" 28 30 135188 66390 0.482758620689655 0.670648582682634 "Seurat" "33"
"17" "Seurat.66" 26 31 122113 79465 0.456140350877193 0.605785353560408 "Seurat" "66"
"18" "Seurat.90" 26 29 125725 75853 0.472727272727273 0.623703975632261 "Seurat" "90"
"19" "Seurat.Final" 24 27 132415 69163 0.470588235294118 0.656892121164016 "Seurat" "Final"
"20" "Seurat.Initial" 28 30 135188 66390 0.482758620689655 0.670648582682634 "Seurat" "Initial"
