"","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","k_105","k_110","k_115","k_120","k_125","k_130","k_135","k_140","k_145","k_150","cells"
"1",43,31,36,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_A1_cell62"
"2",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_A1_cell294"
"3",11,42,2,12,4,16,33,15,8,31,23,16,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell613"
"4",55,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_A1_cell751"
"5",32,27,14,9,27,20,24,20,16,28,27,30,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell767"
"6",14,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_A1_cell1060"
"7",63,7,27,27,37,29,14,21,30,18,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_A1_cell1071"
"8",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell1296"
"9",23,1,25,31,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell1318"
"10",54,28,31,17,15,16,33,15,13,17,29,6,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell1413"
"11",62,40,21,10,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_A1_cell1641"
"12",15,4,10,1,39,9,7,3,1,10,1,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,10,12,6,"Evan_MC_A1_cell1864"
"13",61,52,20,26,21,34,25,11,34,19,24,3,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell1922"
"14",11,42,2,12,4,16,33,15,8,31,23,16,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell2463"
"15",57,44,35,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_A1_cell2611"
"16",26,21,13,3,38,26,20,6,9,3,28,7,29,3,10,3,27,5,6,23,12,17,25,24,3,2,2,11,23,"Evan_MC_A1_cell2745"
"17",8,29,3,34,33,3,1,19,6,3,2,8,11,5,8,27,26,9,6,10,12,7,10,21,18,22,12,11,4,"Evan_MC_A1_cell3153"
"18",27,34,44,30,28,31,15,29,19,21,4,2,16,16,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_A1_cell3255"
"19",26,21,13,23,38,12,1,19,6,3,28,15,11,5,10,27,27,9,6,10,12,7,10,21,18,22,2,11,23,"Evan_MC_A1_cell3267"
"20",56,11,23,28,28,31,15,29,19,21,4,2,16,16,12,7,25,18,16,2,10,12,13,13,8,21,18,10,7,"Evan_MC_A1_cell3401"
"21",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_A1_cell3437"
"22",24,35,26,21,32,30,26,16,26,9,14,13,1,23,19,22,13,17,18,16,17,10,8,11,15,20,7,7,12,"Evan_MC_A1_cell3480"
"23",11,28,31,17,4,16,33,15,13,31,29,6,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell3501"
"24",34,41,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell3699"
"25",7,48,30,40,19,1,32,26,13,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell3712"
"26",24,47,4,13,32,30,17,18,26,24,26,25,3,13,21,17,13,16,18,15,16,10,8,11,15,20,7,7,12,"Evan_MC_A1_cell3721"
"27",9,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_A1_cell3820"
"28",21,13,43,36,36,37,16,34,22,22,22,31,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell3945"
"29",34,41,18,24,3,27,35,17,10,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell3954"
"30",43,31,36,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_A1_cell4076"
"31",60,33,19,15,12,28,22,30,29,12,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_A1_cell4174"
"32",8,5,38,4,39,12,20,19,9,3,5,15,11,5,9,27,26,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_A1_cell4424"
"33",39,52,20,26,21,34,25,11,34,19,24,3,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell4785"
"34",42,47,4,13,29,14,17,18,26,24,26,25,3,13,21,17,13,16,18,15,16,10,8,11,15,20,7,7,12,"Evan_MC_A1_cell4802"
"35",23,26,25,31,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell4952"
"36",55,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_A1_cell5158"
"37",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_A1_cell5256"
"38",7,53,30,40,15,1,32,26,13,17,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell5501"
"39",60,33,19,15,12,28,22,30,29,12,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_A1_cell5614"
"40",50,54,11,2,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_A1_cell5660"
"41",38,36,29,19,20,15,19,25,21,32,20,9,17,29,32,31,23,24,27,21,24,24,21,2,14,11,16,18,15,"Evan_MC_A1_cell6280"
"42",25,32,15,14,23,19,8,30,11,12,11,4,8,12,1,28,9,8,7,9,6,20,19,19,23,18,20,21,16,"Evan_MC_A1_cell6326"
"43",17,13,43,26,35,37,30,34,34,19,22,31,12,26,18,9,22,30,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell6618"
"44",58,23,34,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_A1_cell6860"
"45",44,38,6,22,11,32,18,32,25,13,17,26,23,11,22,25,7,15,11,12,3,2,3,1,2,3,3,2,1,"Evan_MC_A1_cell6891"
"46",32,20,17,9,6,7,31,35,16,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell6912"
"47",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_A1_cell7021"
"48",58,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_A1_cell7149"
"49",1,29,3,34,10,3,1,10,6,25,13,8,11,5,8,27,26,9,9,10,7,13,7,21,18,22,12,11,4,"Evan_MC_A1_cell7202"
"50",38,36,29,19,20,15,19,25,21,32,20,9,17,29,32,31,23,24,27,21,24,24,21,2,14,11,16,18,15,"Evan_MC_A1_cell7217"
"51",50,54,11,2,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_A1_cell7961"
"52",36,21,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_A1_cell7963"
"53",50,54,11,2,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_A1_cell7992"
"54",58,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_A1_cell8034"
"55",23,1,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell8128"
"56",9,23,34,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_A1_cell8543"
"57",48,17,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell8643"
