"","80","100","120","cells"
"1",19,79,45,"Evan_MC_A1_cell62"
"2",62,60,109,"Evan_MC_A1_cell294"
"3",12,35,99,"Evan_MC_A1_cell613"
"4",24,14,49,"Evan_MC_A1_cell751"
"5",6,12,27,"Evan_MC_A1_cell767"
"6",62,61,87,"Evan_MC_A1_cell1060"
"7",33,20,56,"Evan_MC_A1_cell1071"
"8",27,20,56,"Evan_MC_A1_cell1296"
"9",73,95,21,"Evan_MC_A1_cell1318"
"10",12,35,66,"Evan_MC_A1_cell1413"
"11",31,25,75,"Evan_MC_A1_cell1641"
"12",49,34,75,"Evan_MC_A1_cell1864"
"13",49,92,8,"Evan_MC_A1_cell1922"
"14",12,35,66,"Evan_MC_A1_cell2463"
"15",24,14,49,"Evan_MC_A1_cell2611"
"16",53,40,92,"Evan_MC_A1_cell2745"
"17",49,40,92,"Evan_MC_A1_cell3153"
"18",69,78,4,"Evan_MC_A1_cell3255"
"19",49,40,92,"Evan_MC_A1_cell3267"
"20",64,99,3,"Evan_MC_A1_cell3401"
"21",52,44,105,"Evan_MC_A1_cell3437"
"22",21,64,58,"Evan_MC_A1_cell3480"
"23",12,35,66,"Evan_MC_A1_cell3501"
"24",20,20,56,"Evan_MC_A1_cell3699"
"25",2,24,66,"Evan_MC_A1_cell3712"
"26",58,9,95,"Evan_MC_A1_cell3721"
"27",68,80,119,"Evan_MC_A1_cell3820"
"28",79,84,8,"Evan_MC_A1_cell3945"
"29",80,8,56,"Evan_MC_A1_cell3954"
"30",19,79,45,"Evan_MC_A1_cell4076"
"31",4,11,93,"Evan_MC_A1_cell4174"
"32",49,40,73,"Evan_MC_A1_cell4424"
"33",79,84,8,"Evan_MC_A1_cell4785"
"34",53,50,95,"Evan_MC_A1_cell4802"
"35",73,95,21,"Evan_MC_A1_cell4952"
"36",24,14,49,"Evan_MC_A1_cell5158"
"37",62,61,107,"Evan_MC_A1_cell5256"
"38",12,35,66,"Evan_MC_A1_cell5501"
"39",53,50,93,"Evan_MC_A1_cell5614"
"40",63,59,112,"Evan_MC_A1_cell5660"
"41",75,87,117,"Evan_MC_A1_cell6280"
"42",57,50,74,"Evan_MC_A1_cell6326"
"43",79,84,8,"Evan_MC_A1_cell6618"
"44",68,80,119,"Evan_MC_A1_cell6860"
"45",50,40,92,"Evan_MC_A1_cell6891"
"46",5,12,30,"Evan_MC_A1_cell6912"
"47",52,44,105,"Evan_MC_A1_cell7021"
"48",68,80,119,"Evan_MC_A1_cell7149"
"49",49,40,92,"Evan_MC_A1_cell7202"
"50",75,87,117,"Evan_MC_A1_cell7217"
"51",63,56,90,"Evan_MC_A1_cell7961"
"52",62,62,109,"Evan_MC_A1_cell7963"
"53",63,56,112,"Evan_MC_A1_cell7992"
"54",68,80,119,"Evan_MC_A1_cell8034"
"55",73,95,21,"Evan_MC_A1_cell8128"
"56",68,80,4,"Evan_MC_A1_cell8543"
"57",73,95,21,"Evan_MC_A1_cell8643"
"58",20,20,56,"Evan_MC_A1_cell8746"
"59",24,14,49,"Evan_MC_A1_cell8878"
"60",62,60,109,"Evan_MC_A1_cell8911"
"61",5,10,19,"Evan_MC_A1_cell8919"
"62",58,68,58,"Evan_MC_A1_cell9244"
"63",58,64,58,"Evan_MC_A1_cell9863"
"64",18,2,32,"Evan_MC_A1_cell9938"
"65",14,10,27,"Evan_MC_A1_cell9957"
"66",73,95,21,"Evan_MC_A1_cell10095"
"67",73,95,21,"Evan_MC_A1_cell10101"
"68",73,95,21,"Evan_MC_A1_cell10199"
"69",80,85,8,"Evan_MC_A1_cell10282"
"70",19,79,30,"Evan_MC_A1_cell10456"
"71",53,40,73,"Evan_MC_A1_cell10774"
"72",17,4,43,"Evan_MC_A1_cell10831"
"73",78,9,31,"Evan_MC_A1_cell11233"
"74",12,35,66,"Evan_MC_A1_cell11419"
"75",18,10,45,"Evan_MC_A1_cell11587"
"76",5,8,30,"Evan_MC_A1_cell12608"
"77",73,95,21,"Evan_MC_A1_cell12821"
"78",56,44,105,"Evan_MC_A1_cell13108"
"79",12,24,7,"Evan_MC_A1_cell13309"
"80",20,50,93,"Evan_MC_A1_cell13458"
"81",56,48,105,"Evan_MC_A1_cell13710"
"82",6,10,27,"Evan_MC_A1_cell14222"
"83",73,95,21,"Evan_MC_A1_cell14840"
"84",24,14,49,"Evan_MC_A1_cell15128"
"85",26,2,47,"Evan_MC_A1_cell15183"
"86",4,11,93,"Evan_MC_A1_cell15790"
"87",12,24,99,"Evan_MC_A1_cell15801"
"88",49,40,92,"Evan_MC_A1_cell16028"
"89",30,14,49,"Evan_MC_A1_cell16191"
"90",53,49,93,"Evan_MC_A1_cell16328"
"91",49,40,92,"Evan_MC_A1_cell16417"
"92",57,74,92,"Evan_MC_A1_cell16450"
"93",78,8,31,"Evan_MC_A1_cell16639"
"94",12,35,77,"Evan_MC_A1_cell16705"
"95",79,85,10,"Evan_MC_A1_cell16757"
"96",49,40,92,"Evan_MC_A1_cell16833"
"97",1,13,44,"Evan_MC_A1_cell16873"
"98",26,79,30,"Evan_MC_A1_cell17090"
"99",49,40,75,"Evan_MC_A1_cell17166"
"100",49,40,92,"Evan_MC_A1_cell17187"
"101",26,14,51,"Evan_MC_A1_cell17195"
"102",57,74,113,"Evan_MC_A1_cell17638"
"103",4,11,28,"Evan_MC_A1_cell17660"
"104",79,85,107,"Evan_MC_A1_cell18145"
"105",4,10,27,"Evan_MC_A1_cell18519"
"106",6,10,14,"Evan_MC_A1_cell18616"
"107",12,35,66,"Evan_MC_A1_cell18818"
"108",49,40,92,"Evan_MC_A1_cell18956"
"109",52,48,105,"Evan_MC_A1_cell19077"
"110",18,2,45,"Evan_MC_A1_cell19096"
"111",19,79,45,"Evan_MC_A1_cell19489"
"112",79,84,8,"Evan_MC_A1_cell20280"
"113",12,35,66,"Evan_MC_A1_cell20412"
"114",63,56,111,"Evan_MC_A1_cell20606"
"115",17,90,43,"Evan_MC_A1_cell20732"
"116",73,95,21,"Evan_MC_A1_cell21196"
"117",58,20,58,"Evan_MC_A1_cell21268"
"118",49,40,92,"Evan_MC_A1_cell21715"
"119",12,13,44,"Evan_MC_A1_cell21735"
"120",19,79,45,"Evan_MC_A1_cell22498"
"121",20,20,39,"Evan_MC_A1_cell22708"
"122",25,2,45,"Evan_MC_A1_cell22811"
"123",12,35,66,"Evan_MC_A1_cell22853"
"124",20,20,56,"Evan_MC_A1_cell23326"
"125",65,78,4,"Evan_MC_A1_cell23382"
"126",79,84,8,"Evan_MC_A1_cell23491"
"127",49,40,92,"Evan_MC_A1_cell23492"
"128",2,35,66,"Evan_MC_A1_cell23539"
"129",25,2,47,"Evan_MC_A1_cell23648"
"130",49,40,73,"Evan_MC_A1_cell23654"
"131",73,95,21,"Evan_MC_A1_cell23879"
"132",73,94,21,"Evan_MC_A1_cell24084"
"133",63,56,112,"Evan_MC_A1_cell24088"
"134",73,95,21,"Evan_MC_A1_cell24732"
"135",20,20,56,"Evan_MC_A1_cell24885"
"136",1,35,44,"Evan_MC_A1_cell25141"
"137",65,78,4,"Evan_MC_A1_cell25250"
"138",6,12,27,"Evan_MC_A1_cell25488"
"139",17,2,47,"Evan_MC_A1_cell25688"
"140",17,4,29,"Evan_MC_A1_cell25755"
"141",78,12,31,"Evan_MC_A1_cell25967"
"142",73,95,21,"Evan_MC_A1_cell26055"
"143",12,24,99,"Evan_MC_A1_cell26113"
"144",7,9,35,"Evan_MC_A1_cell26227"
"145",79,84,8,"Evan_MC_A1_cell26463"
"146",53,50,93,"Evan_MC_A1_cell26494"
"147",12,35,66,"Evan_MC_A1_cell26619"
"148",78,9,18,"Evan_MC_A1_cell26962"
"149",78,16,31,"Evan_MC_A1_cell27059"
"150",73,95,21,"Evan_MC_A1_cell27128"
"151",79,84,8,"Evan_MC_A1_cell27390"
"152",49,40,92,"Evan_MC_A1_cell27406"
"153",68,82,119,"Evan_MC_A1_cell27637"
"154",24,14,49,"Evan_MC_A1_cell27641"
"155",79,84,8,"Evan_MC_A1_cell28066"
"156",73,95,117,"Evan_MC_A1_cell28280"
"157",79,84,8,"Evan_MC_A1_cell28328"
"158",18,2,47,"Evan_MC_A1_cell28543"
"159",72,95,22,"Evan_MC_A1_cell28544"
"160",20,20,56,"Evan_MC_A1_cell28591"
"161",73,95,21,"Evan_MC_A1_cell28980"
"162",6,10,27,"Evan_MC_A1_cell29120"
"163",54,49,95,"Evan_MC_A1_cell29293"
"164",18,2,47,"Evan_MC_A1_cell29338"
"165",79,85,10,"Evan_MC_A1_cell29632"
"166",63,56,112,"Evan_MC_A1_cell29775"
"167",57,74,113,"Evan_MC_A1_cell29798"
"168",69,89,19,"Evan_MC_A1_cell30605"
"169",19,16,31,"Evan_MC_A1_cell31041"
"170",26,79,45,"Evan_MC_A1_cell31239"
"171",56,48,105,"Evan_MC_A1_cell31258"
"172",18,2,45,"Evan_MC_A1_cell31328"
"173",24,14,34,"Evan_MC_A1_cell31336"
"174",19,2,47,"Evan_MC_A1_cell31523"
"175",20,14,51,"Evan_MC_A1_cell31747"
"176",14,12,30,"Evan_MC_A1_cell31994"
"177",68,82,119,"Evan_MC_A1_cell32810"
"178",12,35,44,"Evan_MC_A1_cell32947"
"179",12,35,66,"Evan_MC_A1_cell33765"
"180",63,56,112,"Evan_MC_A1_cell33862"
"181",78,8,95,"Evan_MC_A1_cell33894"
"182",73,95,21,"Evan_MC_A1_cell33904"
"183",52,44,105,"Evan_MC_A1_cell34105"
"184",64,99,4,"Evan_MC_A1_cell34771"
"185",62,60,109,"Evan_MC_A1_cell34780"
"186",68,82,119,"Evan_MC_A1_cell34897"
"187",73,95,21,"Evan_MC_A1_cell35055"
"188",25,14,35,"Evan_MC_A1_cell35311"
"189",69,89,19,"Evan_MC_A1_cell35359"
"190",80,86,10,"Evan_MC_A1_cell35747"
"191",23,35,66,"Evan_MC_A1_cell35807"
"192",79,85,10,"Evan_MC_A1_cell35855"
"193",58,66,95,"Evan_MC_A1_cell36176"
"194",21,64,58,"Evan_MC_A1_cell36217"
"195",49,40,92,"Evan_MC_A1_cell36292"
"196",12,10,28,"Evan_MC_A1_cell36394"
"197",39,60,109,"Evan_MC_A1_cell36424"
"198",62,61,107,"Evan_MC_A1_cell36516"
"199",54,49,95,"Evan_MC_A1_cell36623"
"200",12,24,99,"Evan_MC_A1_cell36705"
"201",49,40,92,"Evan_MC_A1_cell37142"
"202",80,85,8,"Evan_MC_A1_cell37308"
"203",73,95,21,"Evan_MC_A1_cell37473"
"204",6,9,17,"Evan_MC_A1_cell37535"
"205",19,79,45,"Evan_MC_A1_cell38158"
"206",79,85,105,"Evan_MC_A1_cell38333"
"207",73,95,21,"Evan_MC_A1_cell38447"
"208",79,84,8,"Evan_MC_A1_cell39016"
"209",12,35,66,"Evan_MC_A1_cell39127"
"210",57,74,113,"Evan_MC_A1_cell39349"
"211",53,49,95,"Evan_MC_A1_cell39839"
"212",54,49,95,"Evan_MC_A1_cell39898"
"213",62,61,107,"Evan_MC_A1_cell40019"
"214",12,24,99,"Evan_MC_A1_cell40164"
"215",12,24,8,"Evan_MC_A1_cell40303"
"216",12,24,99,"Evan_MC_A1_cell40736"
"217",24,14,49,"Evan_MC_A1_cell40782"
"218",63,56,111,"Evan_MC_A1_cell40884"
"219",54,49,95,"Evan_MC_A1_cell40938"
"220",79,84,8,"Evan_MC_A1_cell40971"
"221",78,51,31,"Evan_MC_A1_cell41773"
"222",79,85,8,"Evan_MC_A1_cell42119"
"223",12,24,66,"Evan_MC_A1_cell42565"
"224",24,14,49,"Evan_MC_A1_cell43971"
"225",5,10,27,"Evan_MC_A1_cell44038"
"226",6,10,27,"Evan_MC_A1_cell44182"
"227",79,86,8,"Evan_MC_A1_cell44203"
"228",49,40,92,"Evan_MC_A1_cell44432"
"229",49,40,92,"Evan_MC_A1_cell44440"
"230",12,24,99,"Evan_MC_A1_cell44892"
"231",20,20,51,"Evan_MC_A1_cell45303"
"232",75,87,117,"Evan_MC_A1_cell45527"
"233",49,40,73,"Evan_MC_A1_cell45583"
"234",2,35,66,"Evan_MC_A1_cell45965"
"235",65,79,4,"Evan_MC_A1_cell46378"
"236",12,35,66,"Evan_MC_A1_cell46396"
"237",49,25,75,"Evan_MC_A1_cell46748"
"238",75,87,117,"Evan_MC_A1_cell46809"
"239",68,82,119,"Evan_MC_A1_cell46849"
"240",58,64,58,"Evan_MC_A1_cell46962"
"241",12,3,99,"Evan_MC_A1_cell47287"
"242",75,87,117,"Evan_MC_A1_cell47602"
"243",6,12,27,"Evan_MC_A1_cell47735"
