"","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","cells"
"1",328,111,76,74,51,54,55,56,40,41,38,34,29,28,31,26,16,17,22,21,19,19,17,12,15,13,16,"LS-15395_S41_E1-50"
"2",328,111,86,74,51,54,55,56,40,41,38,34,29,28,31,26,16,17,22,21,19,19,17,12,15,13,16,"LS-15395_S42_E1-50"
"3",57,15,15,12,11,3,5,6,4,4,8,10,14,4,3,7,4,2,3,3,2,1,2,1,2,4,2,"LS-15395_S43_E1-50"
"4",131,48,8,10,13,24,26,29,3,6,2,7,4,8,8,4,1,4,5,5,3,3,2,1,2,4,2,"LS-15395_S44_E1-50"
"5",1,51,35,33,8,12,11,8,20,10,6,8,1,2,15,12,7,11,1,1,5,6,1,6,4,5,1,"LS-15395_S46_E1-50"
"6",279,107,71,69,61,55,49,47,39,32,35,30,30,31,32,27,24,25,16,20,18,18,19,18,16,18,11,"LS-15395_S47_E1-50"
"7",87,20,35,33,8,12,11,8,20,10,6,8,1,2,15,12,7,11,1,1,5,6,1,6,4,5,1,"LS-15395_S48_E1-50"
"8",314,119,50,62,63,52,44,48,43,40,39,28,27,25,26,17,22,16,14,19,13,12,16,15,14,17,15,"LS-15395_S49_E1-50"
"9",147,51,35,33,30,26,11,8,8,10,6,8,1,2,15,12,7,11,1,1,5,6,1,6,4,5,1,"LS-15395_S50_E1-50"
"10",299,110,84,63,56,58,43,54,49,41,38,34,29,28,31,26,16,17,22,21,19,19,17,12,15,13,16,"LS-15395_S51_E1-50"
"11",76,49,8,5,28,28,26,29,3,6,2,7,4,8,8,4,1,4,5,5,3,3,2,1,2,4,2,"LS-15395_S52_E1-50"
"12",312,115,85,57,52,47,48,55,36,34,24,29,20,29,21,20,15,18,21,23,20,20,18,16,15,20,18,"LS-15395_S53_E1-50"
"13",176,69,49,42,37,31,29,26,25,22,21,17,21,11,17,14,2,14,2,13,4,5,8,7,8,7,4,"LS-15395_S54_E1-50"
"14",331,118,85,57,52,47,48,55,36,34,24,29,20,29,21,20,15,18,21,23,20,20,18,16,15,20,18,"LS-15395_S55_E1-50"
"15",164,52,47,34,34,30,28,27,23,19,17,14,17,17,19,16,10,13,13,12,6,11,12,11,11,12,9,"LS-15395_S56_E1-50"
"16",75,16,36,30,30,26,10,25,8,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S41_E1-50"
"17",39,4,2,30,5,2,1,2,21,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S42_E1-50"
"18",310,120,78,65,54,49,45,49,48,33,22,35,26,26,27,24,21,22,19,17,16,16,15,17,17,14,14,"LS-15396_S43_E1-50"
"19",149,51,36,33,30,26,10,25,8,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S45_E1-50"
"20",349,127,95,75,70,63,59,60,53,45,41,36,34,33,34,30,28,28,24,25,23,22,21,20,13,16,19,"LS-15396_S46_E1-50"
"21",153,50,47,31,34,30,28,27,23,19,17,14,17,17,19,16,10,13,13,12,6,11,12,11,11,12,9,"LS-15396_S47_E1-50"
"22",299,110,84,63,56,58,43,54,49,41,38,34,29,28,31,26,16,17,22,21,19,19,17,12,15,13,16,"LS-15396_S48_E1-50"
"23",144,46,30,27,27,21,13,12,10,18,13,18,9,18,19,16,10,13,13,12,6,11,11,9,10,11,10,"LS-15396_S49_E1-50"
"24",159,52,47,34,34,30,28,27,23,19,17,14,17,17,19,16,10,13,13,12,6,11,12,11,11,12,9,"LS-15396_S52_E1-50"
"25",149,51,36,33,30,26,10,25,8,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S53_E1-50"
"26",9,52,47,31,34,30,28,27,23,19,17,14,17,17,19,16,10,13,13,12,6,11,12,11,11,12,9,"LS-15396_S54_E1-50"
"27",26,5,3,30,5,2,1,2,21,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S55_E1-50"
"28",39,4,2,30,5,2,1,2,21,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S56_E1-50"
"29",39,4,2,30,5,2,1,2,21,2,3,5,11,12,12,3,13,15,10,11,12,4,3,2,4,5,1,"LS-15396_S57_E1-50"
"30",159,52,47,34,34,30,28,27,23,19,17,14,17,17,19,16,10,13,13,12,6,11,12,11,11,12,9,"LS-15396_S58_E1-50"
"31",326,102,77,68,62,57,42,45,38,32,35,30,30,31,32,27,24,25,16,20,18,18,19,18,16,18,11,"LS-15396_S59_E1-50"
