"","Rsec","RsecT","cells"
"1",18,18,"LS-15395_S41_E1-50"
"2",17,17,"LS-15395_S42_E1-50"
"3",4,4,"LS-15395_S43_E1-50"
"4",3,3,"LS-15395_S44_E1-50"
"5",12,12,"LS-15395_S46_E1-50"
"6",-1,57,"LS-15395_S47_E1-50"
"7",12,12,"LS-15395_S48_E1-50"
"8",29,29,"LS-15395_S49_E1-50"
"9",2,2,"LS-15395_S50_E1-50"
"10",18,18,"LS-15395_S51_E1-50"
"11",3,3,"LS-15395_S52_E1-50"
"12",9,9,"LS-15395_S53_E1-50"
"13",-1,51,"LS-15395_S54_E1-50"
"14",9,9,"LS-15395_S55_E1-50"
"15",10,10,"LS-15395_S56_E1-50"
"16",2,2,"LS-15396_S41_E1-50"
"17",2,2,"LS-15396_S42_E1-50"
"18",-1,25,"LS-15396_S43_E1-50"
"19",2,2,"LS-15396_S45_E1-50"
"20",36,36,"LS-15396_S46_E1-50"
"21",-1,10,"LS-15396_S47_E1-50"
"22",17,17,"LS-15396_S48_E1-50"
"23",7,7,"LS-15396_S49_E1-50"
"24",10,10,"LS-15396_S52_E1-50"
"25",2,2,"LS-15396_S53_E1-50"
"26",28,28,"LS-15396_S54_E1-50"
"27",2,2,"LS-15396_S55_E1-50"
"28",2,2,"LS-15396_S56_E1-50"
"29",2,2,"LS-15396_S57_E1-50"
"30",10,10,"LS-15396_S58_E1-50"
"31",53,53,"LS-15396_S59_E1-50"
"32",29,29,"LS-15396_S60_E1-50"
"33",-1,42,"LS-15396_S61_E1-50"
"34",2,2,"LS-15396_S62_E1-50"
"35",-1,10,"LS-15396_S63_E1-50"
"36",3,3,"LS-15396_S64_E1-50"
"37",-1,1,"LS-15396_S73_E1-50"
"38",14,14,"LS-15396_S74_E1-50"
"39",15,15,"LS-15396_S75_E1-50"
"40",19,19,"LS-15396_S76_E1-50"
"41",19,19,"LS-15396_S77_E1-50"
"42",25,25,"LS-15396_S78_E1-50"
"43",14,14,"LS-15396_S79_E1-50"
"44",-1,25,"LS-15396_S80_E1-50"
"45",10,10,"LS-15396_S81_E1-50"
"46",19,19,"LS-15396_S82_E1-50"
"47",29,29,"LS-15396_S83_E1-50"
"48",19,19,"LS-15396_S84_E1-50"
"49",-1,11,"LS-15396_S85_E1-50"
"50",16,16,"LS-15396_S86_E1-50"
"51",29,29,"LS-15396_S87_E1-50"
"52",19,19,"LS-15396_S88_E1-50"
"53",-1,42,"LS-15398_S17_E1-50"
"54",14,14,"LS-15398_S18_E1-50"
"55",34,34,"LS-15398_S19_E1-50"
"56",15,15,"LS-15398_S20_E1-50"
"57",19,19,"LS-15398_S21_E1-50"
"58",10,10,"LS-15398_S22_E1-50"
"59",29,29,"LS-15398_S23_E1-50"
"60",-1,25,"LS-15398_S24_E1-50"
"61",15,15,"LS-15398_S25_E1-50"
"62",29,29,"LS-15398_S26_E1-50"
"63",-1,42,"LS-15398_S27_E1-50"
"64",6,6,"LS-15398_S28_E1-50"
"65",14,14,"LS-15398_S29_E1-50"
"66",58,58,"LS-15398_S30_E1-50"
"67",-1,57,"LS-15398_S31_E1-50"
"68",14,14,"LS-15398_S32_E1-50"
"69",-1,10,"LS-15500_S09_E1-50"
"70",15,15,"LS-15500_S10_E1-50"
"71",-1,25,"LS-15500_S11_E1-50"
"72",14,14,"LS-15500_S12_E1-50"
"73",42,42,"LS-15500_S13_E1-50"
"74",15,15,"LS-15500_S14_E1-50"
"75",58,58,"LS-15500_S15_E1-50"
"76",16,16,"LS-15500_S16_E1-50"
"77",-1,57,"LS-15500_S18_E1-50"
"78",43,43,"LS-15500_S19_E1-50"
"79",-1,13,"LS-15500_S20_E1-50"
"80",34,34,"LS-15500_S21_E1-50"
"81",19,19,"LS-15500_S22_E1-50"
"82",19,19,"LS-15500_S23_E1-50"
"83",-1,10,"LS-15500_S24_E1-50"
"84",29,29,"LS-15500_S25_E1-50"
"85",-1,42,"LS-15500_S26_E1-50"
"86",28,28,"LS-15500_S27_E1-50"
"87",48,48,"LS-15500_S28_E1-50"
"88",43,43,"LS-15500_S29_E1-50"
"89",37,37,"LS-15500_S30_E1-50"
"90",10,10,"LS-15500_S31_E1-50"
"91",58,58,"LS-15500_S32_E1-50"
"92",2,2,"LS-15501_S25_E1-50"
"93",3,3,"LS-15501_S26_E1-50"
"94",17,17,"LS-15501_S28_E1-50"
"95",-1,1,"LS-15501_S29_E1-50"
"96",2,2,"LS-15501_S30_E1-50"
"97",2,2,"LS-15501_S31_E1-50"
"98",3,3,"LS-15501_S32_E1-50"
"99",12,12,"LS-15501_S33_E1-50"
"100",-1,57,"LS-15501_S34_E1-50"
"101",12,12,"LS-15501_S35_E1-50"
"102",12,12,"LS-15501_S37_E1-50"
"103",15,15,"LS-15501_S38_E1-50"
"104",29,29,"LS-15501_S39_E1-50"
"105",12,12,"LS-15501_S40_E1-50"
"106",-1,11,"LS-15501_S42_E1-50"
"107",-1,24,"LS-15501_S43_E1-50"
"108",29,29,"LS-15501_S44_E1-50"
"109",-1,20,"LS-15501_S45_E1-50"
"110",2,2,"LS-15501_S46_E1-50"
"111",20,20,"LS-15501_S47_E1-50"
"112",3,3,"LS-15501_S48_E1-50"
"113",-1,22,"LS-15501_S73_E1-50"
"114",2,2,"LS-15501_S74_E1-50"
"115",7,7,"LS-15501_S75_E1-50"
"116",27,27,"LS-15501_S76_E1-50"
"117",3,3,"LS-15501_S77_E1-50"
"118",10,10,"LS-15501_S78_E1-50"
"119",2,2,"LS-15501_S80_E1-50"
"120",23,23,"LS-15501_S81_E1-50"
"121",2,2,"LS-15501_S82_E1-50"
"122",2,2,"LS-15501_S83_E1-50"
"123",2,2,"LS-15501_S84_E1-50"
"124",10,10,"LS-15501_S85_E1-50"
"125",-1,51,"LS-15501_S86_E1-50"
"126",29,29,"LS-15501_S87_E1-50"
"127",3,3,"LS-15501_S88_E1-50"
"128",15,15,"LS-15510_S01_E1-50"
"129",15,15,"LS-15510_S02_E1-50"
"130",19,19,"LS-15510_S03_E1-50"
"131",15,15,"LS-15510_S04_E1-50"
"132",14,14,"LS-15510_S05_E1-50"
"133",58,58,"LS-15510_S06_E1-50"
"134",15,15,"LS-15510_S07_E1-50"
"135",19,19,"LS-15510_S08_E1-50"
"136",-1,10,"LS-15510_S09_E1-50"
"137",58,58,"LS-15510_S10_E1-50"
"138",58,58,"LS-15510_S11_E1-50"
"139",15,15,"LS-15510_S12_E1-50"
"140",15,15,"LS-15510_S13_E1-50"
"141",7,7,"LS-15510_S14_E1-50"
"142",19,19,"LS-15510_S15_E1-50"
"143",-1,47,"LS-15510_S16_E1-50"
"144",13,13,"LS-15510_S17_E1-50"
"145",13,13,"LS-15510_S18_E1-50"
"146",49,49,"LS-15510_S19_E1-50"
"147",13,13,"LS-15510_S20_E1-50"
"148",11,11,"LS-15510_S21_E1-50"
"149",3,3,"LS-15510_S22_E1-50"
"150",13,13,"LS-15510_S23_E1-50"
"151",-1,30,"LS-15510_S24_E1-50"
"152",5,5,"LS-15510_S25_E1-50"
"153",-1,54,"LS-15510_S26_E1-50"
"154",13,13,"LS-15510_S27_E1-50"
"155",5,5,"LS-15510_S28_E1-50"
"156",38,38,"LS-15510_S29_E1-50"
"157",5,5,"LS-15510_S30_E1-50"
"158",13,13,"LS-15510_S31_E1-50"
"159",1,1,"LS-15510_S32_E1-50"
"160",-1,49,"LS-15510_S33_E1-50"
"161",-1,11,"LS-15510_S34_E1-50"
"162",-1,49,"LS-15510_S35_E1-50"
"163",13,13,"LS-15510_S36_E1-50"
"164",13,13,"LS-15510_S37_E1-50"
"165",-1,55,"LS-15510_S38_E1-50"
"166",54,54,"LS-15510_S39_E1-50"
"167",2,2,"LS-15520_S01_E1-50"
"168",2,2,"LS-15520_S02_E1-50"
"169",15,15,"LS-15520_S03_E1-50"
"170",-1,10,"LS-15520_S04_E1-50"
"171",3,3,"LS-15520_S05_E1-50"
"172",2,2,"LS-15520_S06_E1-50"
"173",10,10,"LS-15520_S07_E1-50"
"174",2,2,"LS-15520_S08_E1-50"
"175",-1,10,"LS-15520_S09_E1-50"
"176",2,2,"LS-15520_S10_E1-50"
"177",10,10,"LS-15520_S11_E1-50"
"178",2,2,"LS-15520_S12_E1-50"
"179",2,2,"LS-15520_S13_E1-50"
"180",10,10,"LS-15520_S14_E1-50"
"181",2,2,"LS-15520_S15_E1-50"
"182",2,2,"LS-15520_S16_E1-50"
"183",28,28,"LS-15520_S33_E1-50"
"184",2,2,"LS-15520_S34_E1-50"
"185",10,10,"LS-15520_S35_E1-50"
"186",13,13,"LS-15520_S37_E1-50"
"187",-1,2,"LS-15520_S38_E1-50"
"188",22,22,"LS-15520_S39_E1-50"
"189",2,2,"LS-15520_S40_E1-50"
"190",2,2,"LS-15520_S41_E1-50"
"191",3,3,"LS-15520_S42_E1-50"
"192",28,28,"LS-15520_S43_E1-50"
"193",2,2,"LS-15520_S44_E1-50"
"194",-1,27,"LS-15520_S45_E1-50"
"195",2,2,"LS-15520_S46_E1-50"
"196",3,3,"LS-15520_S48_E1-50"
"197",2,2,"LS-15520_S49_E1-50"
"198",7,7,"LS-15520_S50_E1-50"
"199",-1,14,"LS-15520_S51_E1-50"
"200",2,2,"LS-15520_S52_E1-50"
"201",2,2,"LS-15521_S01_E1-50"
"202",7,7,"LS-15521_S02_E1-50"
"203",10,10,"LS-15521_S03_E1-50"
"204",-1,2,"LS-15521_S04_E1-50"
"205",56,56,"LS-15521_S05_E1-50"
"206",7,7,"LS-15521_S06_E1-50"
"207",2,2,"LS-15521_S07_E1-50"
"208",10,10,"LS-15521_S08_E1-50"
"209",10,10,"LS-15521_S09_E1-50"
"210",2,2,"LS-15521_S10_E1-50"
"211",2,2,"LS-15521_S11_E1-50"
"212",27,27,"LS-15521_S12_E1-50"
"213",12,12,"LS-15521_S13_E1-50"
"214",4,4,"LS-15521_S14_E1-50"
"215",2,2,"LS-15521_S15_E1-50"
"216",2,2,"LS-15521_S16_E1-50"
"217",7,7,"LS-15521_S35_E1-50"
"218",10,10,"LS-15521_S36_E1-50"
"219",2,2,"LS-15521_S37_E1-50"
"220",2,2,"LS-15521_S38_E1-50"
"221",2,2,"LS-15521_S39_E1-50"
"222",3,3,"LS-15521_S41_E1-50"
"223",22,22,"LS-15521_S42_E1-50"
"224",4,4,"LS-15521_S43_E1-50"
"225",2,2,"LS-15521_S44_E1-50"
"226",3,3,"LS-15521_S45_E1-50"
"227",2,2,"LS-15521_S46_E1-50"
"228",10,10,"LS-15521_S47_E1-50"
"229",10,10,"LS-15521_S48_E1-50"
"230",-1,20,"LS-15522_S01_E1-50"
