"","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","k_105","k_110","k_115","k_120","k_125","k_130","k_135","k_140","k_145","k_150","cells"
"1",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S113_E1-50"
"2",22,30,30,4,17,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S114_E1-50"
"3",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S115_E1-50"
"4",10,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE653_S116_E1-50"
"5",28,27,19,23,27,21,15,16,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S117_E1-50"
"6",46,27,19,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S118_E1-50"
"7",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S119_E1-50"
"8",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S120_E1-50"
"9",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S121_E1-50"
"10",28,27,19,23,27,21,15,16,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S122_E1-50"
"11",7,37,20,29,20,8,10,9,6,16,15,13,14,10,8,9,13,13,13,10,11,14,14,15,13,9,13,14,12,"SM-GE653_S123_E1-50"
"12",22,30,30,4,17,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S124_E1-50"
"13",46,27,19,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S125_E1-50"
"14",46,27,19,9,10,9,18,3,3,18,6,7,18,16,13,4,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S126_E1-50"
"15",6,37,20,29,9,8,10,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE653_S127_E1-50"
"16",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S128_E1-50"
"17",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S129_E1-50"
"18",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S130_E1-50"
"19",44,34,10,13,23,27,26,23,21,19,17,16,16,13,15,14,15,14,15,14,14,14,14,15,13,9,13,14,12,"SM-GE653_S131_E1-50"
"20",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE653_S132_E1-50"
"21",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE653_S133_E1-50"
"22",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S134_E1-50"
"23",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S135_E1-50"
"24",22,30,30,4,17,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S136_E1-50"
"25",39,3,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE653_S137_E1-50"
"26",48,2,8,1,21,26,22,20,20,6,11,4,1,6,1,1,11,1,3,1,13,10,2,14,12,1,4,1,6,"SM-GE653_S138_E1-50"
"27",46,38,17,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE653_S139_E1-50"
"28",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE653_S140_E1-50"
"29",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE653_S141_E1-50"
"30",46,38,17,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S142_E1-50"
"31",32,4,18,24,18,7,6,13,2,3,5,3,8,5,7,2,5,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE653_S143_E1-50"
"32",22,30,30,4,17,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S144_E1-50"
"33",3,2,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE653_S145_E1-50"
"34",27,29,1,28,11,10,4,4,4,10,2,15,10,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE653_S146_E1-50"
"35",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE653_S147_E1-50"
"36",10,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE653_S148_E1-50"
"37",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S149_E1-50"
"38",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S150_E1-50"
"39",3,2,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE653_S151_E1-50"
"40",46,38,17,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S152_E1-50"
"41",48,2,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE653_S154_E1-50"
"42",46,38,17,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE653_S155_E1-50"
"43",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S156_E1-50"
"44",3,2,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE653_S157_E1-50"
"45",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S158_E1-50"
"46",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE653_S159_E1-50"
"47",9,20,28,10,2,17,23,2,7,2,3,9,9,1,3,5,8,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE653_S160_E1-50"
"48",35,26,12,17,13,3,7,10,10,13,4,10,2,12,11,7,9,7,7,9,10,6,10,10,8,11,9,10,8,"SM-GE653_S161_E1-50"
"49",33,35,34,25,19,25,9,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S162_E1-50"
"50",49,25,25,32,28,19,13,17,22,20,18,17,17,14,16,15,16,15,4,2,4,1,1,1,1,2,14,4,3,"SM-GE653_S163_E1-50"
"51",9,20,28,10,2,17,23,2,7,2,3,9,9,1,3,5,8,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE653_S164_E1-50"
"52",35,26,12,17,13,3,7,10,10,13,4,10,2,12,11,7,9,7,7,9,10,6,10,10,8,11,9,10,8,"SM-GE653_S165_E1-50"
"53",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S166_E1-50"
"54",17,24,12,18,12,12,1,22,16,11,7,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S167_E1-50"
"55",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S168_E1-50"
"56",43,18,13,19,24,22,17,15,9,5,16,2,3,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE653_S169_E1-50"
"57",27,29,1,28,11,10,4,4,4,10,2,15,10,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE653_S171_E1-50"
"58",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S172_E1-50"
"59",43,39,32,19,24,22,17,15,9,5,16,2,3,4,14,11,3,3,14,3,1,3,9,9,15,14,15,3,5,"SM-GE653_S173_E1-50"
"60",5,35,34,22,19,25,2,1,1,12,8,6,6,17,12,16,7,9,1,8,3,12,15,2,3,3,3,9,14,"SM-GE653_S174_E1-50"
"61",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S175_E1-50"
"62",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S176_E1-50"
"63",33,35,34,22,19,25,2,1,1,12,8,6,6,17,12,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S178_E1-50"
"64",2,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S179_E1-50"
"65",26,33,29,31,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE653_S180_E1-50"
"66",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S181_E1-50"
"67",47,39,32,27,24,22,17,15,9,5,16,2,3,4,14,11,3,3,14,3,1,3,9,9,15,14,15,3,5,"SM-GE653_S182_E1-50"
