"","Rsec","RsecT","cells"
"1",7,7,"SM-GE653_S113_E1-50"
"2",13,13,"SM-GE653_S114_E1-50"
"3",7,7,"SM-GE653_S115_E1-50"
"4",13,13,"SM-GE653_S116_E1-50"
"5",18,18,"SM-GE653_S117_E1-50"
"6",-1,3,"SM-GE653_S118_E1-50"
"7",7,7,"SM-GE653_S119_E1-50"
"8",7,7,"SM-GE653_S120_E1-50"
"9",-1,7,"SM-GE653_S121_E1-50"
"10",7,7,"SM-GE653_S122_E1-50"
"11",-1,14,"SM-GE653_S123_E1-50"
"12",13,13,"SM-GE653_S124_E1-50"
"13",-1,12,"SM-GE653_S125_E1-50"
"14",-1,9,"SM-GE653_S126_E1-50"
"15",19,19,"SM-GE653_S127_E1-50"
"16",7,7,"SM-GE653_S128_E1-50"
"17",7,7,"SM-GE653_S129_E1-50"
"18",7,7,"SM-GE653_S130_E1-50"
"19",9,9,"SM-GE653_S131_E1-50"
"20",-1,14,"SM-GE653_S132_E1-50"
"21",-1,17,"SM-GE653_S133_E1-50"
"22",7,7,"SM-GE653_S134_E1-50"
"23",7,7,"SM-GE653_S135_E1-50"
"24",7,7,"SM-GE653_S136_E1-50"
"25",-1,12,"SM-GE653_S137_E1-50"
"26",1,1,"SM-GE653_S138_E1-50"
"27",18,18,"SM-GE653_S139_E1-50"
"28",18,18,"SM-GE653_S140_E1-50"
"29",18,18,"SM-GE653_S141_E1-50"
"30",-1,18,"SM-GE653_S142_E1-50"
"31",-1,3,"SM-GE653_S143_E1-50"
"32",7,7,"SM-GE653_S144_E1-50"
"33",12,12,"SM-GE653_S145_E1-50"
"34",1,1,"SM-GE653_S146_E1-50"
"35",18,18,"SM-GE653_S147_E1-50"
"36",18,18,"SM-GE653_S148_E1-50"
"37",7,7,"SM-GE653_S149_E1-50"
"38",7,7,"SM-GE653_S150_E1-50"
"39",12,12,"SM-GE653_S151_E1-50"
"40",18,18,"SM-GE653_S152_E1-50"
"41",12,12,"SM-GE653_S154_E1-50"
"42",12,12,"SM-GE653_S155_E1-50"
"43",7,7,"SM-GE653_S156_E1-50"
"44",-1,7,"SM-GE653_S157_E1-50"
"45",7,7,"SM-GE653_S158_E1-50"
"46",7,7,"SM-GE653_S159_E1-50"
"47",17,17,"SM-GE653_S160_E1-50"
"48",-1,19,"SM-GE653_S161_E1-50"
"49",10,10,"SM-GE653_S162_E1-50"
"50",-1,3,"SM-GE653_S163_E1-50"
"51",-1,14,"SM-GE653_S164_E1-50"
"52",-1,19,"SM-GE653_S165_E1-50"
"53",21,21,"SM-GE653_S166_E1-50"
"54",-1,19,"SM-GE653_S167_E1-50"
"55",-1,14,"SM-GE653_S168_E1-50"
"56",-1,1,"SM-GE653_S169_E1-50"
"57",1,1,"SM-GE653_S171_E1-50"
"58",-1,14,"SM-GE653_S172_E1-50"
"59",-1,19,"SM-GE653_S173_E1-50"
"60",16,16,"SM-GE653_S174_E1-50"
"61",-1,17,"SM-GE653_S175_E1-50"
"62",-1,14,"SM-GE653_S176_E1-50"
"63",-1,17,"SM-GE653_S178_E1-50"
"64",10,10,"SM-GE653_S179_E1-50"
"65",-1,21,"SM-GE653_S180_E1-50"
"66",21,21,"SM-GE653_S181_E1-50"
"67",-1,3,"SM-GE653_S182_E1-50"
"68",16,16,"SM-GE653_S183_E1-50"
"69",10,10,"SM-GE653_S184_E1-50"
"70",16,16,"SM-GE653_S185_E1-50"
"71",-1,12,"SM-GE653_S187_E1-50"
"72",-1,14,"SM-GE653_S188_E1-50"
"73",-1,21,"SM-GE653_S189_E1-50"
"74",16,16,"SM-GE653_S190_E1-50"
"75",-1,21,"SM-GE653_S191_E1-50"
"76",10,10,"SM-GE653_S192_E1-50"
"77",-1,19,"SM-GE64R_S097_E1-50"
"78",-1,14,"SM-GE64R_S098_E1-50"
"79",-1,9,"SM-GE64R_S099_E1-50"
"80",-1,21,"SM-GE64R_S100_E1-50"
"81",-1,21,"SM-GE64R_S101_E1-50"
"82",17,17,"SM-GE64R_S102_E1-50"
"83",19,19,"SM-GE64R_S103_E1-50"
"84",-1,14,"SM-GE64R_S104_E1-50"
"85",-1,16,"SM-GE64R_S105_E1-50"
"86",19,19,"SM-GE64R_S106_E1-50"
"87",-1,19,"SM-GE64R_S107_E1-50"
"88",-1,21,"SM-GE64R_S108_E1-50"
"89",-1,21,"SM-GE64R_S109_E1-50"
"90",-1,19,"SM-GE64R_S110_E1-50"
"91",-1,19,"SM-GE64R_S111_E1-50"
"92",-1,17,"SM-GE64R_S112_E1-50"
"93",17,17,"SM-GE64R_S113_E1-50"
"94",-1,19,"SM-GE64R_S114_E1-50"
"95",-1,19,"SM-GE64R_S115_E1-50"
"96",-1,19,"SM-GE64R_S116_E1-50"
"97",19,19,"SM-GE64R_S117_E1-50"
"98",19,19,"SM-GE64R_S118_E1-50"
"99",19,19,"SM-GE64R_S119_E1-50"
"100",-1,19,"SM-GE64R_S120_E1-50"
"101",7,7,"SM-GE64R_S121_E1-50"
"102",-1,17,"SM-GE64R_S122_E1-50"
"103",1,1,"SM-GE64R_S123_E1-50"
"104",-1,15,"SM-GE64R_S124_E1-50"
