cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
1,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
2,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
3,35,4,27,35,4,27,35,4,27,35,4,27,35,4,27
4,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
5,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
6,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
7,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
8,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
9,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
10,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
11,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
12,34,34,13,34,34,13,34,34,13,34,34,13,34,34,13
13,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
14,34,34,13,34,34,13,34,34,13,34,34,13,34,34,13
15,26,19,25,26,19,25,26,19,25,26,19,25,26,19,25
16,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
17,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
18,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
19,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
20,14,45,11,14,43,6,14,42,6,14,42,6,14,42,6
21,22,19,14,22,19,14,22,19,14,22,19,2,15,19,2
22,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
23,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
24,26,19,25,26,19,25,26,19,25,26,19,25,26,19,25
25,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
26,26,19,25,26,19,25,26,19,25,26,19,25,26,19,25
27,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
28,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
29,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
30,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
31,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
32,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
33,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
34,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
35,7,19,14,7,19,14,7,19,14,6,19,2,6,19,2
36,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
37,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
38,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
39,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
40,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
41,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
42,38,37,24,38,37,24,38,32,9,38,32,9,38,32,9
43,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
44,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
45,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
46,12,3,3,12,3,3,12,3,3,12,3,3,11,3,3
47,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
48,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
49,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
50,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
51,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
52,12,9,3,12,9,3,12,3,3,12,3,3,11,3,3
53,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
54,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
55,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
56,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
57,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
58,26,19,14,26,19,14,26,19,14,26,19,2,26,19,2
59,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
60,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
61,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
62,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
63,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
64,38,37,24,38,37,24,38,32,9,38,32,9,38,32,9
65,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
66,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
67,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
68,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
69,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
70,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
71,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
72,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
73,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
74,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
75,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
76,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
77,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
78,38,32,24,38,32,24,38,32,9,38,32,9,38,32,9
79,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
80,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
81,12,3,3,12,3,3,12,3,3,12,3,3,11,3,3
82,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
83,22,19,14,22,19,14,22,19,14,22,19,2,15,19,2
84,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
85,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
86,26,19,25,26,19,25,26,19,25,26,19,25,26,19,25
87,7,22,2,7,22,2,7,20,2,6,16,2,6,16,2
88,38,32,9,38,32,9,38,32,9,38,32,9,38,32,9
89,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
90,26,19,14,26,19,14,26,19,14,26,19,2,26,19,2
91,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
92,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
93,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
94,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
95,10,8,5,10,8,5,9,7,5,9,7,5,9,7,5
96,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
97,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
98,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
99,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
100,37,33,22,37,33,22,37,33,22,37,33,22,37,33,22
101,10,8,4,10,8,4,9,7,4,9,7,4,9,7,4
102,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
103,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
104,42,40,12,42,40,12,42,40,12,31,31,12,31,31,12
105,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
106,10,8,4,10,8,4,9,7,4,9,7,4,9,7,4
107,34,34,13,34,34,13,34,34,13,34,34,13,34,34,13
108,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
109,19,19,5,19,19,5,19,19,5,19,19,5,19,19,5
110,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
111,40,28,30,40,28,30,40,28,30,40,28,30,40,28,30
112,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
113,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
114,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
115,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
116,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
117,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
118,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
119,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
120,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
121,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
122,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
123,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
124,26,19,14,26,19,14,26,19,14,26,19,2,26,19,2
125,24,24,8,24,24,8,24,24,8,24,24,8,17,24,8
126,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
127,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
128,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
129,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
130,13,9,3,13,9,3,12,3,3,12,3,3,11,3,3
131,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
132,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
133,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
134,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
135,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
136,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
137,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
138,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
139,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
140,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
141,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
142,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
143,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
144,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
145,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
146,3,15,1,3,14,1,3,14,1,3,14,1,3,14,1
147,9,7,4,9,7,4,9,7,4,9,7,4,9,7,4
148,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
149,35,4,27,35,4,27,35,4,27,35,4,27,35,4,27
150,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
151,9,8,5,9,8,5,9,7,5,9,7,5,9,7,5
152,2,5,23,2,5,23,2,5,23,2,5,23,2,5,23
153,3,15,1,3,14,1,3,14,1,3,14,1,3,14,1
154,9,7,4,9,7,4,9,7,4,9,7,4,9,7,4
155,3,14,23,3,14,23,3,14,23,3,14,23,3,14,23
156,27,25,19,27,25,19,27,25,19,27,25,19,4,25,10
157,1,17,7,1,17,7,1,13,7,1,13,7,1,13,7
158,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
159,28,30,18,28,30,18,28,30,18,28,30,18,4,25,10
160,3,15,7,3,14,7,3,14,7,3,14,7,3,14,7
161,1,17,7,1,17,7,1,13,7,1,13,7,1,13,7
162,2,15,1,2,14,1,2,14,1,2,14,1,2,14,1
163,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
164,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
165,3,15,1,3,14,1,3,14,1,3,14,1,3,14,1
166,3,14,1,3,14,1,3,14,1,3,14,1,3,14,1
167,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
168,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
169,6,22,25,6,22,25,6,20,25,6,16,25,6,16,25
170,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
171,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
172,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
173,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
174,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
175,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
176,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
177,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
178,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
179,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
180,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
181,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
182,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
183,26,24,8,26,24,8,26,24,8,26,24,8,26,24,8
184,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
185,26,19,14,26,19,14,26,19,14,26,19,2,26,19,2
186,9,11,4,9,11,4,9,7,4,9,7,4,9,7,4
187,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
188,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
189,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
190,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
191,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
192,26,24,8,26,24,8,26,24,8,26,24,8,26,24,8
193,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
194,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
195,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
196,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
197,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
198,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
199,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
200,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
201,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
202,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
203,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
204,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
205,20,28,5,20,28,5,20,28,5,20,28,5,19,28,5
206,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
207,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
208,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
209,22,19,14,22,19,14,22,19,14,22,19,2,15,19,2
210,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
211,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
212,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
213,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
214,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
215,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
216,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
217,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
218,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
219,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
220,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
221,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
222,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
223,26,24,8,26,24,8,26,24,8,26,24,8,26,24,8
224,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
225,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
226,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
227,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
228,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
229,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
230,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
231,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
232,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
233,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
234,26,19,25,26,19,25,26,19,25,26,19,25,26,19,25
235,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
