"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"1","LS-15395_S41_E1-50",26,34,18,26,34,18,26,34,18,26,20,15,26,20,15
"2","LS-15395_S42_E1-50",26,34,18,26,34,18,26,34,18,26,20,15,26,20,15
"3","LS-15395_S43_E1-50",33,10,26,33,10,26,33,10,26,33,10,26,33,10,26
"4","LS-15395_S44_E1-50",29,7,19,29,7,19,29,7,19,29,7,19,29,7,19
"5","LS-15395_S46_E1-50",23,8,6,23,8,6,23,5,6,23,5,6,22,5,6
"6","LS-15395_S47_E1-50",37,30,11,37,30,11,35,30,8,35,30,8,35,30,8
"7","LS-15395_S48_E1-50",23,8,6,23,8,6,23,5,6,23,5,6,22,5,6
"8","LS-15395_S49_E1-50",28,28,13,28,28,13,28,28,13,28,28,13,28,28,13
"9","LS-15395_S50_E1-50",23,8,6,23,8,6,23,5,6,23,5,6,22,5,6
"10","LS-15395_S51_E1-50",26,34,18,26,34,18,26,34,18,26,20,15,26,20,15
"11","LS-15395_S52_E1-50",29,7,19,29,7,19,29,7,19,29,7,19,29,7,19
"12","LS-15395_S53_E1-50",31,29,24,31,29,24,31,29,24,26,29,24,26,20,15
"13","LS-15395_S54_E1-50",7,17,2,7,17,2,7,17,2,6,16,2,6,16,2
"14","LS-15395_S55_E1-50",31,29,24,31,29,24,31,29,24,26,29,24,26,20,15
"15","LS-15395_S56_E1-50",11,14,23,11,14,23,11,14,23,11,14,23,10,14,12
"16","LS-15396_S41_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"17","LS-15396_S42_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"18","LS-15396_S43_E1-50",35,35,11,35,35,11,35,30,8,35,30,8,35,30,8
"19","LS-15396_S45_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"20","LS-15396_S46_E1-50",18,36,14,18,36,5,18,2,5,18,2,5,18,2,5
"21","LS-15396_S47_E1-50",9,14,16,9,14,16,9,14,16,9,14,2,8,14,2
"22","LS-15396_S48_E1-50",26,34,18,26,34,18,26,34,18,26,20,15,26,20,15
"23","LS-15396_S49_E1-50",8,18,9,8,18,9,8,18,9,8,18,9,8,18,9
"24","LS-15396_S52_E1-50",11,14,23,11,14,23,11,14,23,11,14,23,10,14,12
"25","LS-15396_S53_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"26","LS-15396_S54_E1-50",8,14,23,8,14,23,8,14,23,8,14,23,8,14,12
"27","LS-15396_S55_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"28","LS-15396_S56_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"29","LS-15396_S57_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"30","LS-15396_S58_E1-50",13,14,23,13,14,23,13,14,23,13,14,23,10,14,12
"31","LS-15396_S59_E1-50",37,30,11,37,30,11,35,30,8,35,30,8,35,30,8
"32","LS-15396_S60_E1-50",28,28,13,28,28,13,28,28,13,28,28,13,28,28,13
"33","LS-15396_S61_E1-50",36,21,25,36,21,25,36,21,25,36,21,25,36,21,25
"34","LS-15396_S62_E1-50",23,5,6,23,5,6,23,5,6,23,5,6,22,5,6
"35","LS-15396_S63_E1-50",6,14,16,6,14,16,6,14,16,6,14,2,6,14,2
"36","LS-15396_S64_E1-50",29,7,19,29,7,19,29,7,19,29,7,19,29,7,19
"37","LS-15396_S73_E1-50",27,32,13,27,32,13,27,32,13,27,32,13,27,32,13
"38","LS-15396_S74_E1-50",17,3,3,17,3,3,17,1,3,17,1,3,16,1,3
"39","LS-15396_S75_E1-50",7,17,2,7,17,2,7,17,2,6,16,2,6,16,2
"40","LS-15396_S76_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"41","LS-15396_S77_E1-50",17,3,3,17,3,3,17,1,3,17,1,3,16,1,3
"42","LS-15396_S78_E1-50",37,30,11,37,30,11,35,30,8,35,30,8,35,30,8
"43","LS-15396_S79_E1-50",17,3,3,17,3,3,17,1,3,17,1,3,16,1,3
"44","LS-15396_S80_E1-50",35,35,11,35,35,11,35,30,8,35,30,8,35,30,8
"45","LS-15396_S81_E1-50",13,14,23,13,14,23,13,14,23,13,14,23,10,14,12
"46","LS-15396_S82_E1-50",17,1,3,17,1,3,17,1,3,17,1,3,16,1,3
"47","LS-15396_S83_E1-50",28,28,13,28,28,13,28,28,13,28,28,13,28,28,13
"48","LS-15396_S84_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"49","LS-15396_S85_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"50","LS-15396_S86_E1-50",37,30,11,37,30,11,35,30,8,35,30,8,35,30,8
"51","LS-15396_S87_E1-50",27,32,13,27,32,13,27,32,13,27,32,13,27,32,13
"52","LS-15396_S88_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"53","LS-15398_S17_E1-50",35,35,11,35,35,11,35,30,8,35,30,8,35,30,8
"54","LS-15398_S18_E1-50",17,3,3,17,3,3,17,1,3,17,1,3,16,1,3
"55","LS-15398_S19_E1-50",36,21,25,36,21,25,36,21,25,36,21,25,36,21,25
"56","LS-15398_S20_E1-50",7,17,2,7,17,2,7,17,2,6,16,2,6,16,2
"57","LS-15398_S21_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"58","LS-15398_S22_E1-50",8,14,16,8,14,16,8,14,16,8,14,2,8,14,2
"59","LS-15398_S23_E1-50",27,32,13,27,32,13,27,32,13,27,32,13,27,32,13
"60","LS-15398_S24_E1-50",35,35,11,35,35,11,35,30,8,35,30,8,35,30,8
"61","LS-15398_S25_E1-50",7,17,2,7,17,2,7,17,2,6,16,2,6,16,2
"62","LS-15398_S26_E1-50",28,28,13,28,28,13,28,28,13,28,28,13,28,28,13
"63","LS-15398_S27_E1-50",36,21,25,36,21,25,36,21,25,36,21,25,36,21,25
"64","LS-15398_S28_E1-50",37,30,11,37,30,11,35,30,8,35,30,8,35,30,8
"65","LS-15398_S29_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"66","LS-15398_S30_E1-50",7,17,16,7,17,16,7,17,16,6,16,2,6,16,2
"67","LS-15398_S31_E1-50",37,30,11,37,30,11,35,30,8,35,30,8,35,30,8
"68","LS-15398_S32_E1-50",17,4,3,17,1,3,17,1,3,17,1,3,16,1,3
"69","LS-15500_S09_E1-50",7,17,16,7,17,16,7,17,16,6,16,2,6,16,2
"70","LS-15500_S10_E1-50",7,17,2,7,17,2,7,17,2,6,16,2,6,16,2
