"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"1","SM-GE653_S113_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"2","SM-GE653_S114_E1-50",19,4,9,19,4,9,18,4,9,18,4,9,18,4,9
"3","SM-GE653_S115_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"4","SM-GE653_S116_E1-50",33,2,8,33,2,8,33,2,8,33,2,8,18,2,8
"5","SM-GE653_S117_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"6","SM-GE653_S118_E1-50",33,9,16,33,9,16,33,9,16,33,9,9,18,4,9
"7","SM-GE653_S119_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"8","SM-GE653_S120_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"9","SM-GE653_S121_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"10","SM-GE653_S122_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"11","SM-GE653_S123_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"12","SM-GE653_S124_E1-50",33,4,16,33,4,16,33,4,16,33,4,9,18,4,9
"13","SM-GE653_S125_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"14","SM-GE653_S126_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"15","SM-GE653_S127_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"16","SM-GE653_S128_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"17","SM-GE653_S129_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"18","SM-GE653_S130_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"19","SM-GE653_S131_E1-50",33,13,8,33,13,8,33,13,8,33,13,8,18,13,8
"20","SM-GE653_S132_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"21","SM-GE653_S133_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"22","SM-GE653_S134_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"23","SM-GE653_S135_E1-50",19,23,16,19,23,16,18,23,16,18,4,9,18,4,9
